id,start,end,OG
BFLIIOKL_00001,100,1524,COG0593
BFLIIOKL_00002,1782,2888,COG0592
BFLIIOKL_00003,3011,5515,COG0187
BFLIIOKL_00004,5671,6495,COG2801
BFLIIOKL_00005,6519,6785,ROG6591
BFLIIOKL_00006,7518,7889,ROG6392
BFLIIOKL_00007,8692,9117,COG1051
BFLIIOKL_00008,9123,10421,COG3202
BFLIIOKL_00009,10426,11298,COG0702
BFLIIOKL_00010,11596,12726,COG0079
BFLIIOKL_00011,12740,13621,COG0596
BFLIIOKL_00012,13618,14853,COG2195
BFLIIOKL_00013,14970,15686,COG1802
BFLIIOKL_00014,16022,16879,COG1028
BFLIIOKL_00015,16903,17730,COG0600
BFLIIOKL_00016,17777,18553,COG1116
BFLIIOKL_00017,18631,19638,ROG4879
BFLIIOKL_00018,19714,20709,COG3491
BFLIIOKL_00019,20721,21881,COG4032
BFLIIOKL_00020,21902,23338,COG0402
BFLIIOKL_00021,23386,24843,COG1012
BFLIIOKL_00022,24861,25793,ROG2288
BFLIIOKL_00023,26301,26744,COG0518
BFLIIOKL_00024,26972,28786,ROG7225
BFLIIOKL_00025,28898,30154,COG0025
BFLIIOKL_00026,30665,32413,ROG0691
BFLIIOKL_00027,32417,32926,COG2207
BFLIIOKL_00028,33586,33954,ROG1841
BFLIIOKL_00029,34025,34465,COG0251
BFLIIOKL_00030,34562,35185,COG1573
BFLIIOKL_00031,35696,36073,COG3293
BFLIIOKL_00032,36338,37252,COG0583
BFLIIOKL_00033,37353,39650,COG0620
BFLIIOKL_00034,39909,40223,COG3039
BFLIIOKL_00035,40324,41145,COG3676
BFLIIOKL_00036,41086,42345,COG3328
BFLIIOKL_00038,43400,44158,COG1126
BFLIIOKL_00039,44142,44795,COG0765
BFLIIOKL_00040,44788,45459,COG0765
BFLIIOKL_00041,45531,46325,COG0834
BFLIIOKL_00042,46322,47032,COG1802
BFLIIOKL_00043,47217,47552,COG1146
BFLIIOKL_00044,47890,48429,COG3090
BFLIIOKL_00045,48426,49724,COG1593
BFLIIOKL_00046,49792,50823,COG1638
BFLIIOKL_00047,50896,51903,COG3491
BFLIIOKL_00048,51973,52815,ROG0382
BFLIIOKL_00049,52812,53552,COG1802
BFLIIOKL_00050,53562,54287,COG1802
BFLIIOKL_00051,54528,55550,COG3491
