id,start,end,OG
POEJPPFL_00001,499,1848,COG0593
POEJPPFL_00002,2110,3210,COG0592
POEJPPFL_00004,3502,4605,COG1195
POEJPPFL_00006,4920,6827,COG0187
POEJPPFL_00007,6851,9331,COG0188
POEJPPFL_00014,15627,16148,COG1827
POEJPPFL_00016,17553,17780,COG3862
POEJPPFL_00021,18679,19194,COG1670
POEJPPFL_00023,22763,26500,COG1074
POEJPPFL_00026,28665,29570,COG0642
POEJPPFL_00028,29867,30757,COG0688
POEJPPFL_00029,31139,31723,COG1309
POEJPPFL_00030,31885,32673,COG0561
POEJPPFL_00031,32821,34416,COG0488
POEJPPFL_00033,35464,36111,COG1272
POEJPPFL_00034,36341,37144,COG0263
POEJPPFL_00035,37170,38414,COG0014
POEJPPFL_00037,39342,40121,COG0300
POEJPPFL_00038,40776,41825,COG0505
POEJPPFL_00039,41840,45049,COG0458
POEJPPFL_00039,41840,45049,COG0458
POEJPPFL_00041,45599,46708,COG2206
POEJPPFL_00042,47192,47971,COG0796
POEJPPFL_00043,48077,48601,COG0652
POEJPPFL_00045,49027,49695,COG1396
POEJPPFL_00046,49848,53033,COG1404
POEJPPFL_00046,49848,53033,COG3409
POEJPPFL_00049,55387,56316,COG1242
POEJPPFL_00054,59207,62320,COG0060
POEJPPFL_00055,62582,63580,COG1609
POEJPPFL_00056,63819,64262,COG1846
POEJPPFL_00057,64255,65628,COG0534
POEJPPFL_00061,67249,68493,COG0006
POEJPPFL_00062,68601,70376,COG0006
POEJPPFL_00063,71049,72986,COG0143
POEJPPFL_00063,71049,72986,COG0073
POEJPPFL_00064,73346,74131,COG0084
POEJPPFL_00065,74427,75479,COG3584
POEJPPFL_00066,75642,76199,COG1658
POEJPPFL_00067,76200,77045,COG0030
POEJPPFL_00072,81652,82491,COG0489
POEJPPFL_00073,82621,82812,COG1141
POEJPPFL_00076,84280,85128,COG1307
POEJPPFL_00077,85589,87697,COG1328
POEJPPFL_00078,88273,89442,COG0119
POEJPPFL_00080,91586,92095,COG0602
POEJPPFL_00081,92261,92872,COG2094
POEJPPFL_00083,93253,94218,COG0463
POEJPPFL_00084,94294,95379,COG2206
POEJPPFL_00085,95761,96843,COG1932
POEJPPFL_00086,97345,98739,COG0017
POEJPPFL_00088,99807,101186,COG0773
POEJPPFL_00089,101474,102289,COG0503
POEJPPFL_00090,102620,102895,COG2088
POEJPPFL_00091,103091,104458,COG1207
POEJPPFL_00092,104506,105471,COG0462
POEJPPFL_00093,105790,106476,COG0745
POEJPPFL_00094,106477,107898,COG0642
POEJPPFL_00095,107921,108496,COG0193
POEJPPFL_00096,108511,112011,COG1197
POEJPPFL_00097,112213,113334,COG0760
POEJPPFL_00098,113590,114138,COG2002
POEJPPFL_00099,114234,115769,COG2244
POEJPPFL_00101,117459,117734,COG0776
POEJPPFL_00102,117805,118065,COG1188
POEJPPFL_00106,119479,119889,COG1098
POEJPPFL_00118,124499,125905,COG0037
POEJPPFL_00119,125908,126447,COG0634
POEJPPFL_00120,126522,128330,COG0465
POEJPPFL_00121,128534,130204,COG2759
POEJPPFL_00122,130396,131196,COG1521
POEJPPFL_00123,131246,132211,COG0042
POEJPPFL_00124,132692,133174,COG0782
POEJPPFL_00125,133189,134694,COG1190
POEJPPFL_00130,136407,137798,COG0423
POEJPPFL_00131,137947,139323,COG0771
POEJPPFL_00142,148243,149190,COG0598
POEJPPFL_00145,151267,151908,COG0125
POEJPPFL_00148,153270,154175,COG1774
POEJPPFL_00151,154749,155399,COG2220
POEJPPFL_00155,157649,160123,COG0542
POEJPPFL_00156,160254,161189,COG0492
POEJPPFL_00157,161265,161492,COG0695
POEJPPFL_00160,164900,166000,COG4956
POEJPPFL_00161,166022,166702,COG1211
POEJPPFL_00162,167097,168809,COG0442
POEJPPFL_00163,168827,170227,COG0215
POEJPPFL_00165,170721,171623,COG0566
POEJPPFL_00167,172209,172856,COG1595
POEJPPFL_00169,173074,174267,COG0050
POEJPPFL_00170,174445,174594,COG0267
POEJPPFL_00171,174643,174873,COG0690
POEJPPFL_00172,174911,175432,COG0250
POEJPPFL_00173,175511,175936,COG0080
POEJPPFL_00174,175991,176680,COG0081
POEJPPFL_00175,176885,177388,COG0244
POEJPPFL_00176,177439,177804,COG0222
POEJPPFL_00177,178135,181845,COG0085
POEJPPFL_00178,181867,185403,COG0086
POEJPPFL_00179,185660,186037,COG0048
POEJPPFL_00180,186187,186657,COG0049
POEJPPFL_00181,186741,188807,COG0480
POEJPPFL_00182,188995,190188,COG0050
POEJPPFL_00183,190645,190953,COG0051
POEJPPFL_00184,191027,191656,COG0087
POEJPPFL_00185,191683,192303,COG0088
POEJPPFL_00186,192303,192599,COG0089
POEJPPFL_00187,192664,193497,COG0090
POEJPPFL_00188,193563,193835,COG0185
POEJPPFL_00189,193856,194191,COG0091
POEJPPFL_00190,194216,194881,COG0092
POEJPPFL_00191,194899,195333,COG0197
POEJPPFL_00192,195333,195545,COG0255
POEJPPFL_00193,195569,195823,COG0186
POEJPPFL_00194,195852,196220,COG0093
POEJPPFL_00195,196236,196550,COG0198
POEJPPFL_00196,196573,197112,COG0094
POEJPPFL_00197,197129,197314,COG0199
POEJPPFL_00198,197347,197745,COG0096
POEJPPFL_00199,197814,198356,COG0097
POEJPPFL_00200,198375,198734,COG0256
POEJPPFL_00201,198755,199252,COG0098
POEJPPFL_00202,199265,199444,COG1841
POEJPPFL_00203,199466,199906,COG0200
POEJPPFL_00204,199908,201206,COG0201
POEJPPFL_00205,201232,201882,COG0563
POEJPPFL_00206,201882,202631,COG0024
POEJPPFL_00208,203008,203226,COG0361
POEJPPFL_00209,203281,203394,COG0257
POEJPPFL_00210,203604,203972,COG0099
POEJPPFL_00211,203988,204383,COG0100
POEJPPFL_00212,204414,205034,COG0522
POEJPPFL_00213,205137,206084,COG0202
POEJPPFL_00214,206097,206438,COG0203
POEJPPFL_00215,206672,207523,COG1122
POEJPPFL_00216,207508,208377,COG1122
POEJPPFL_00217,208386,209192,COG0619
POEJPPFL_00218,209209,209943,COG0101
POEJPPFL_00219,210104,210538,COG0102
POEJPPFL_00220,210565,210957,COG0103
POEJPPFL_00221,211474,212136,COG0860
POEJPPFL_00223,212715,213557,COG1951
POEJPPFL_00224,213762,214319,COG1838
POEJPPFL_00226,215187,215879,COG0745
POEJPPFL_00227,215851,217206,COG0642
POEJPPFL_00228,217403,219634,COG0209
POEJPPFL_00229,219888,220922,COG0208
POEJPPFL_00230,221153,222772,COG1080
POEJPPFL_00234,226442,227290,COG1624
POEJPPFL_00236,228601,230256,COG2509
POEJPPFL_00237,230529,231437,COG0280
POEJPPFL_00238,231582,232649,COG3426
POEJPPFL_00240,233284,234093,COG0294
POEJPPFL_00241,234115,234930,COG0801
POEJPPFL_00241,234115,234930,COG1539
POEJPPFL_00242,234969,235805,COG2013
POEJPPFL_00244,236529,237875,COG1109
POEJPPFL_00246,239067,239576,COG0440
POEJPPFL_00247,239642,241237,COG0119
POEJPPFL_00248,241251,242510,COG0065
POEJPPFL_00249,242524,243009,COG0066
POEJPPFL_00250,243149,244231,COG0473
POEJPPFL_00251,244301,245974,COG0028
POEJPPFL_00252,245987,246991,COG0059
POEJPPFL_00253,247115,247378,COG2827
POEJPPFL_00254,247748,249061,COG1653
POEJPPFL_00255,249170,250036,COG1175
POEJPPFL_00256,250036,250935,COG0395
POEJPPFL_00257,251089,252579,COG1640
POEJPPFL_00258,252966,253967,COG1609
POEJPPFL_00261,257294,258031,COG1136
POEJPPFL_00262,258022,259293,COG0577
POEJPPFL_00263,259910,261058,COG0626
POEJPPFL_00264,261092,262228,COG0626
POEJPPFL_00265,262413,262898,COG1846
POEJPPFL_00266,263248,264654,COG2213
POEJPPFL_00267,265193,267244,COG3711
POEJPPFL_00268,267244,267684,COG4668
POEJPPFL_00269,267686,268831,COG0246
POEJPPFL_00270,269498,271324,COG0449
POEJPPFL_00271,271491,272102,COG1309
POEJPPFL_00273,273479,274027,COG0655
POEJPPFL_00274,274242,275567,COG2807
POEJPPFL_00275,275600,275995,COG1321
POEJPPFL_00277,276701,277174,COG1846
POEJPPFL_00279,278151,278639,COG1846
POEJPPFL_00280,278656,279186,COG0840
POEJPPFL_00284,281686,282321,COG1131
POEJPPFL_00286,283307,285568,COG0058
POEJPPFL_00287,285702,286373,COG2207
POEJPPFL_00288,286710,288713,COG0840
POEJPPFL_00289,288866,289453,COG1592
POEJPPFL_00292,291010,291600,COG0212
POEJPPFL_00294,294396,296327,COG0441
POEJPPFL_00295,296925,299402,COG0840
POEJPPFL_00300,301311,301787,COG0245
POEJPPFL_00303,303216,304175,COG0726
POEJPPFL_00305,305579,306625,COG0502
POEJPPFL_00306,306838,307272,COG1846
POEJPPFL_00308,307791,308117,COG2076
POEJPPFL_00309,308416,311010,COG1454
POEJPPFL_00309,308416,311010,COG1012
POEJPPFL_00310,311114,313777,COG0474
POEJPPFL_00311,314365,316074,COG0840
POEJPPFL_00313,317335,318036,COG2186
POEJPPFL_00314,318560,319348,COG2086
POEJPPFL_00315,319404,320594,COG2025
POEJPPFL_00315,319404,320594,COG1145
POEJPPFL_00316,320598,322001,COG0277
POEJPPFL_00317,322339,322911,COG1595
POEJPPFL_00320,326481,327416,COG1180
POEJPPFL_00321,327626,328303,COG0176
POEJPPFL_00322,328419,329486,COG0836
POEJPPFL_00324,330966,331601,COG2344
POEJPPFL_00325,331979,332764,COG1024
POEJPPFL_00326,332849,333988,COG1960
POEJPPFL_00327,334002,334781,COG2086
POEJPPFL_00328,334804,335811,COG2025
POEJPPFL_00329,335954,336802,COG1250
POEJPPFL_00332,340524,340808,COG0234
POEJPPFL_00333,340900,342525,COG0459
POEJPPFL_00334,342850,343326,COG2165
POEJPPFL_00335,343683,345140,COG0516
POEJPPFL_00335,343683,345140,COG0516
POEJPPFL_00335,343683,345140,COG0517
POEJPPFL_00336,345328,346860,COG0519
POEJPPFL_00336,345328,346860,COG0518
POEJPPFL_00337,346907,348070,COG0582
POEJPPFL_00338,348122,349111,COG3620
POEJPPFL_00343,350611,351903,COG0305
POEJPPFL_00357,361075,361659,COG1961
POEJPPFL_00361,363134,363865,COG5263
POEJPPFL_00380,378744,379754,COG3732
POEJPPFL_00381,379871,380551,COG0176
POEJPPFL_00383,381066,381881,COG1028
POEJPPFL_00384,382295,383644,COG0166
POEJPPFL_00387,386787,387599,COG0741
POEJPPFL_00388,388011,388727,COG1187
POEJPPFL_00389,388944,389609,COG0778
POEJPPFL_00390,389744,390088,COG1733
POEJPPFL_00391,390224,390658,COG1846
POEJPPFL_00393,391124,392761,COG0840
POEJPPFL_00394,393032,395299,COG0210
POEJPPFL_00395,395319,397310,COG0272
POEJPPFL_00400,402416,403030,COG0127
POEJPPFL_00401,403107,403586,COG0622
POEJPPFL_00422,407611,409659,COG0642
POEJPPFL_00422,407611,409659,COG2202
POEJPPFL_00433,421629,422726,COG0726
POEJPPFL_00434,423018,424403,COG0312
POEJPPFL_00435,424406,425749,COG0312
POEJPPFL_00437,426661,428544,COG1368
POEJPPFL_00439,429431,430387,COG0492
POEJPPFL_00440,430465,431028,COG2755
POEJPPFL_00442,432224,433243,COG0533
POEJPPFL_00443,433253,434254,COG0596
POEJPPFL_00444,434520,435749,COG0265
POEJPPFL_00445,435949,436257,COG1447
POEJPPFL_00446,436270,437424,COG1653
POEJPPFL_00447,437581,438699,COG0438
POEJPPFL_00451,442083,443204,COG0438
POEJPPFL_00454,445573,446112,COG0386
POEJPPFL_00456,447425,448987,COG1388
POEJPPFL_00459,452925,453767,COG1947
POEJPPFL_00463,455695,457305,COG0504
POEJPPFL_00466,460418,460627,COG0254
POEJPPFL_00468,461427,463187,COG2890
POEJPPFL_00469,463323,464405,COG0216
POEJPPFL_00471,465114,466163,COG0009
POEJPPFL_00472,466214,466663,COG0698
POEJPPFL_00473,466974,467603,COG0035
POEJPPFL_00475,468459,469607,COG0381
POEJPPFL_00476,469729,470910,COG0183
POEJPPFL_00479,472732,472947,COG0636
POEJPPFL_00480,473000,473479,COG0711
POEJPPFL_00481,473482,474021,COG0712
POEJPPFL_00482,474032,475546,COG0056
POEJPPFL_00483,475588,476439,COG0224
POEJPPFL_00484,476454,477845,COG0055
POEJPPFL_00485,477861,478268,COG0355
POEJPPFL_00487,479295,480557,COG0766
POEJPPFL_00489,482657,483394,COG0739
POEJPPFL_00491,483836,484870,COG1077
POEJPPFL_00501,487246,488421,COG0192
POEJPPFL_00502,488873,491101,COG0507
POEJPPFL_00504,492109,492765,COG1040
POEJPPFL_00505,493181,493714,COG1544
POEJPPFL_00506,494059,496617,COG0653
POEJPPFL_00507,496912,497886,COG1186
POEJPPFL_00509,498548,499243,COG0745
POEJPPFL_00510,499233,500732,COG0642
POEJPPFL_00511,500931,501842,COG1994
POEJPPFL_00513,502351,504528,COG2183
POEJPPFL_00514,504786,505742,COG0673
POEJPPFL_00515,505798,506721,COG0697
POEJPPFL_00516,506983,508287,COG0534
POEJPPFL_00517,508308,509132,COG0789
POEJPPFL_00519,509365,509754,COG2207
POEJPPFL_00520,510099,510992,COG1940
POEJPPFL_00522,513996,514463,COG0350
POEJPPFL_00523,514698,515315,COG1349
POEJPPFL_00524,515447,516259,COG0561
POEJPPFL_00525,516503,517312,COG1414
POEJPPFL_00526,517556,518338,COG1028
POEJPPFL_00527,518502,519422,COG0524
POEJPPFL_00528,519512,520138,COG0800
POEJPPFL_00531,522664,522825,COG1773
POEJPPFL_00532,523022,523786,COG1349
POEJPPFL_00533,523939,524379,COG0456
POEJPPFL_00534,524379,525113,COG1214
POEJPPFL_00535,525110,525571,COG0802
POEJPPFL_00538,527745,529280,COG3845
POEJPPFL_00539,529277,530347,COG4603
POEJPPFL_00540,530347,531288,COG1079
POEJPPFL_00541,531364,532368,COG1744
POEJPPFL_00542,532542,533057,COG3547
POEJPPFL_00543,533389,533844,COG3547
POEJPPFL_00544,534264,536267,COG0840
POEJPPFL_00545,536737,537273,COG1396
POEJPPFL_00547,539090,540367,COG0402
POEJPPFL_00548,540384,541574,COG0624
POEJPPFL_00550,543240,543812,COG2068
POEJPPFL_00551,544154,545437,COG0044
POEJPPFL_00552,545434,546726,COG0402
POEJPPFL_00553,546730,547815,COG0167
POEJPPFL_00553,546730,547815,COG1146
POEJPPFL_00554,547847,549955,COG1529
POEJPPFL_00555,549948,550424,COG2080
POEJPPFL_00557,551291,552430,COG1744
POEJPPFL_00558,552454,554019,COG3845
POEJPPFL_00559,554012,555121,COG4603
POEJPPFL_00560,555111,556043,COG1079
POEJPPFL_00561,556217,558850,COG1529
POEJPPFL_00563,559836,560624,COG3608
POEJPPFL_00568,564844,565419,COG2068
POEJPPFL_00571,567693,568169,COG0315
POEJPPFL_00572,568232,569209,COG2896
POEJPPFL_00574,570019,570399,COG0251
POEJPPFL_00575,570497,571564,COG2070
POEJPPFL_00582,577979,578875,COG0803
POEJPPFL_00585,582248,582697,COG0517
POEJPPFL_00587,583554,584204,COG1842
POEJPPFL_00590,586498,587916,COG0469
POEJPPFL_00591,588080,589537,COG2195
POEJPPFL_00592,589903,590496,COG0791
POEJPPFL_00594,591808,592374,COG0424
POEJPPFL_00595,592426,593115,COG2003
POEJPPFL_00596,593136,594152,COG1077
POEJPPFL_00597,594155,595003,COG1792
POEJPPFL_00599,595501,598398,COG0768
POEJPPFL_00600,598556,599236,COG1489
POEJPPFL_00601,599436,600095,COG0850
POEJPPFL_00602,600116,600916,COG2894
POEJPPFL_00604,601470,602600,COG0772
POEJPPFL_00610,612273,614129,COG1032
POEJPPFL_00612,615005,616453,COG1530
POEJPPFL_00613,616629,616940,COG0261
POEJPPFL_00615,617339,617638,COG0211
POEJPPFL_00616,617940,619232,COG0536
POEJPPFL_00617,619380,619682,COG1534
POEJPPFL_00618,619845,620459,COG1057
POEJPPFL_00619,620546,621124,COG1713
POEJPPFL_00620,621224,622516,COG1316
POEJPPFL_00621,622718,623617,COG0564
POEJPPFL_00622,623692,624588,COG0583
POEJPPFL_00623,624710,625795,COG0136
POEJPPFL_00624,625859,627094,COG1686
POEJPPFL_00625,627260,627946,COG1555
POEJPPFL_00628,629446,630801,COG2265
POEJPPFL_00629,630959,631636,COG0745
POEJPPFL_00630,631633,632706,COG0642
POEJPPFL_00631,632960,634339,COG0534
POEJPPFL_00636,639992,640438,COG1762
POEJPPFL_00639,642644,643702,COG1063
POEJPPFL_00640,643716,644534,COG3959
POEJPPFL_00641,644534,645451,COG3958
POEJPPFL_00642,645467,646126,COG0036
POEJPPFL_00643,646158,646601,COG0698
POEJPPFL_00644,646628,647317,COG0235
POEJPPFL_00645,647451,648986,COG1109
POEJPPFL_00646,649054,649710,COG0036
POEJPPFL_00647,650103,650936,COG0648
POEJPPFL_00648,651110,651790,COG0652
POEJPPFL_00649,651890,653686,COG1966
POEJPPFL_00651,655126,655884,COG3279
POEJPPFL_00652,656110,656478,COG0789
POEJPPFL_00653,656787,657944,COG1453
POEJPPFL_00654,658125,659531,COG1641
POEJPPFL_00655,659587,660396,COG1606
POEJPPFL_00656,660481,661227,COG1691
POEJPPFL_00657,661344,662384,COG1902
POEJPPFL_00661,663904,665832,COG2766
POEJPPFL_00664,668539,669081,COG1592
POEJPPFL_00668,670772,671650,COG1597
POEJPPFL_00670,672542,674545,COG1032
POEJPPFL_00672,676924,677835,COG0031
POEJPPFL_00673,677976,678566,COG1045
POEJPPFL_00674,679091,679795,COG0204
POEJPPFL_00675,679812,680444,COG0177
POEJPPFL_00676,680600,681505,COG1181
POEJPPFL_00677,681673,682086,COG0735
POEJPPFL_00680,684266,685570,COG0520
POEJPPFL_00682,686325,686939,COG1309
POEJPPFL_00683,687200,689119,COG0488
POEJPPFL_00684,689464,690171,COG0745
POEJPPFL_00685,690161,691669,COG0642
POEJPPFL_00688,694647,695108,COG0219
POEJPPFL_00689,695129,695965,COG1307
POEJPPFL_00690,696209,697600,COG1508
POEJPPFL_00692,699104,700105,COG0057
POEJPPFL_00693,700246,701421,COG0126
POEJPPFL_00694,701857,702603,COG0149
POEJPPFL_00695,702933,704471,COG0696
POEJPPFL_00697,705843,707135,COG0148
POEJPPFL_00698,707356,707589,COG1314
POEJPPFL_00699,708222,709220,COG0715
POEJPPFL_00701,710269,711090,COG1116
POEJPPFL_00702,711110,713425,COG2217
POEJPPFL_00703,713425,714495,COG4633
POEJPPFL_00704,714839,716128,COG2873
POEJPPFL_00705,716344,717213,COG1116
POEJPPFL_00706,717433,718422,COG0715
POEJPPFL_00707,718654,720213,COG2710
POEJPPFL_00709,721648,722421,COG0600
POEJPPFL_00710,722450,723235,COG0600
POEJPPFL_00713,725343,726116,COG0600
POEJPPFL_00715,727546,729027,COG2710
POEJPPFL_00718,732016,732870,COG1348
POEJPPFL_00719,732948,733727,COG1135
POEJPPFL_00720,733724,734392,COG2011
POEJPPFL_00721,734409,735254,COG1464
POEJPPFL_00723,735753,736625,COG0535
POEJPPFL_00724,736869,738029,COG0626
POEJPPFL_00725,738026,738940,COG0031
POEJPPFL_00726,739148,740680,COG2710
