id,start,end,OG
CCEFKBNH_00001,499,1848,COG0593
CCEFKBNH_00002,2110,3210,COG0592
CCEFKBNH_00003,3241,3453,COG2501
CCEFKBNH_00004,3502,4605,COG1195
CCEFKBNH_00005,4605,4865,ROG0244
CCEFKBNH_00006,4920,6827,COG0187
CCEFKBNH_00007,6851,9331,COG0188
CCEFKBNH_00013,15097,15612,ROG0716
CCEFKBNH_00014,15627,16148,COG1827
CCEFKBNH_00015,16151,17536,COG0579
CCEFKBNH_00016,17553,17780,COG3862
CCEFKBNH_00021,18679,19194,COG1670
CCEFKBNH_00022,19191,22670,COG3857
CCEFKBNH_00023,22763,26500,COG1074
CCEFKBNH_00024,26571,27752,COG1376
CCEFKBNH_00025,27968,28450,ROG3118
CCEFKBNH_00026,28665,29570,COG2205
CCEFKBNH_00028,29867,30757,COG0688
CCEFKBNH_00029,31139,31723,COG1309
CCEFKBNH_00030,31885,32673,COG0561
CCEFKBNH_00031,32821,34416,COG0488
CCEFKBNH_00032,34649,35242,ROG0143
CCEFKBNH_00033,35464,36111,COG1272
CCEFKBNH_00034,36341,37144,COG0263
CCEFKBNH_00035,37170,38414,COG0014
CCEFKBNH_00036,38689,39048,COG1803
CCEFKBNH_00037,39342,40121,COG0300
CCEFKBNH_00038,40776,41825,COG0505
CCEFKBNH_00039,41840,45049,COG0458
CCEFKBNH_00041,45599,46708,COG2206
CCEFKBNH_00042,47192,47971,COG0796
CCEFKBNH_00043,48077,48601,COG0652
CCEFKBNH_00044,48654,49025,ROG3051
CCEFKBNH_00045,49027,49695,ROG1061
CCEFKBNH_00046,49848,53033,COG1404
CCEFKBNH_00047,53166,54134,COG1313
CCEFKBNH_00048,54192,55268,COG3949
CCEFKBNH_00049,55387,56316,COG1242
CCEFKBNH_00050,56357,57073,COG2045
CCEFKBNH_00051,57175,57393,ROG4359
CCEFKBNH_00052,58301,58603,COG4640
CCEFKBNH_00054,59207,62320,COG0060
CCEFKBNH_00055,62582,63580,COG1609
CCEFKBNH_00056,63819,64262,COG1846
CCEFKBNH_00057,64255,65628,COG0534
CCEFKBNH_00059,65982,66557,COG2715
CCEFKBNH_00060,66611,67132,COG0700
CCEFKBNH_00061,67249,68493,COG0006
CCEFKBNH_00062,68601,70376,COG0006
CCEFKBNH_00063,71049,72986,COG0143
CCEFKBNH_00064,73346,74131,COG0084
