id,start,end,OG
PNJLHNBB_00001,125,1579,COG0593
PNJLHNBB_00002,1586,2692,COG0592
PNJLHNBB_00003,2692,5283,COG0187
PNJLHNBB_00005,7137,8120,COG0320
PNJLHNBB_00006,8153,8824,COG0321
PNJLHNBB_00009,9845,10723,COG0356
PNJLHNBB_00010,10770,11015,COG0636
PNJLHNBB_00011,11132,11602,COG0711
PNJLHNBB_00012,11636,12166,COG0712
PNJLHNBB_00013,12214,13770,COG0056
PNJLHNBB_00014,13800,14669,COG0224
PNJLHNBB_00015,14718,16127,COG0055
PNJLHNBB_00016,16254,16670,COG0355
PNJLHNBB_00019,18362,18838,COG0757
PNJLHNBB_00041,44423,45247,COG2801
PNJLHNBB_00045,47028,47843,COG2207
PNJLHNBB_00051,49985,50317,COG0640
PNJLHNBB_00052,50349,50954,COG0346
PNJLHNBB_00053,50976,51479,COG0394
PNJLHNBB_00054,51476,52543,COG0798
PNJLHNBB_00058,53910,54581,COG0745
PNJLHNBB_00059,54578,55954,COG0642
PNJLHNBB_00060,56240,56866,COG0625
PNJLHNBB_00061,56984,58453,COG0015
PNJLHNBB_00064,60708,61205,COG0315
PNJLHNBB_00065,61207,62058,COG1250
PNJLHNBB_00067,62993,65653,COG1042
PNJLHNBB_00067,62993,65653,COG1670
PNJLHNBB_00069,66335,67270,COG0313
PNJLHNBB_00070,67272,67700,COG0792
PNJLHNBB_00072,68330,69001,COG2823
PNJLHNBB_00073,69125,70039,COG2084
PNJLHNBB_00075,71228,72271,COG2805
PNJLHNBB_00076,72368,73000,COG0325
PNJLHNBB_00077,73043,76651,COG0506
PNJLHNBB_00078,76888,77352,COG1522
PNJLHNBB_00079,77568,78635,COG2423
PNJLHNBB_00080,78806,79225,COG1522
PNJLHNBB_00081,79377,81224,COG0147
PNJLHNBB_00081,79377,81224,COG0115
PNJLHNBB_00082,81446,81790,COG0251
PNJLHNBB_00084,82814,84610,COG4251
PNJLHNBB_00084,82814,84610,COG2202
PNJLHNBB_00085,84784,86283,COG0277
PNJLHNBB_00086,86649,87074,COG0071
PNJLHNBB_00087,87295,88167,COG0583
PNJLHNBB_00088,88336,89184,COG0788
PNJLHNBB_00089,89246,90175,COG1893
PNJLHNBB_00090,90307,91722,COG1207
PNJLHNBB_00091,91838,92374,COG1522
PNJLHNBB_00092,92520,94448,COG0449
PNJLHNBB_00094,95382,95837,COG0789
PNJLHNBB_00096,96408,97466,COG0803
PNJLHNBB_00097,97488,98564,COG0709
PNJLHNBB_00100,100230,101042,COG0730
PNJLHNBB_00101,101079,101774,COG0007
PNJLHNBB_00103,103076,104035,COG0175
PNJLHNBB_00104,104032,104835,COG0175
PNJLHNBB_00106,105336,107069,COG0155
