id,start,end,OG
PCBHHBLN_00001,501,2030,COG0593
PCBHHBLN_00002,2265,3383,COG0592
PCBHHBLN_00004,4635,7043,COG0187
PCBHHBLN_00009,9946,10410,COG1762
PCBHHBLN_00010,10800,12302,COG1508
PCBHHBLN_00011,12320,13186,COG1137
PCBHHBLN_00014,14972,16072,COG0794
PCBHHBLN_00014,14972,16072,COG0517
PCBHHBLN_00017,17629,18651,COG0702
PCBHHBLN_00019,19968,21425,COG0493
PCBHHBLN_00020,21449,26023,COG0069
PCBHHBLN_00020,21449,26023,COG0067
PCBHHBLN_00020,21449,26023,COG0070
PCBHHBLN_00021,26122,26628,COG0386
PCBHHBLN_00022,26625,27161,COG1846
PCBHHBLN_00023,27371,28039,COG0625
PCBHHBLN_00025,28727,29872,COG0265
PCBHHBLN_00028,31899,32606,COG0744
PCBHHBLN_00029,33186,34025,COG0491
PCBHHBLN_00032,35094,35993,COG0583
PCBHHBLN_00034,37541,38053,COG3088
PCBHHBLN_00035,38050,38637,COG0526
PCBHHBLN_00036,38663,40678,COG1138
PCBHHBLN_00037,40764,41225,COG2332
PCBHHBLN_00039,41530,42249,COG0755
PCBHHBLN_00040,42415,43083,COG2386
PCBHHBLN_00044,45615,46784,COG1044
PCBHHBLN_00045,46821,47072,COG0236
PCBHHBLN_00046,47219,48433,COG0304
PCBHHBLN_00047,48447,48956,COG1683
PCBHHBLN_00048,49043,50650,COG0488
PCBHHBLN_00049,50793,51419,COG1280
PCBHHBLN_00052,52319,53872,COG4799
PCBHHBLN_00053,54178,56166,COG4770
PCBHHBLN_00054,56220,57752,COG4799
PCBHHBLN_00055,58390,60327,COG1154
PCBHHBLN_00058,62504,65173,COG1033
PCBHHBLN_00059,65227,66228,COG0451
PCBHHBLN_00060,66671,67645,COG0761
PCBHHBLN_00061,67914,69077,COG0535
PCBHHBLN_00063,69833,71803,COG1657
PCBHHBLN_00064,71906,73204,COG3349
PCBHHBLN_00065,73213,75276,COG1562
PCBHHBLN_00067,76346,78667,COG0642
PCBHHBLN_00067,76346,78667,COG2202
PCBHHBLN_00067,76346,78667,COG2202
PCBHHBLN_00069,79091,80218,COG2267
PCBHHBLN_00070,80215,81225,COG1131
PCBHHBLN_00072,81589,82515,COG0697
PCBHHBLN_00074,83277,85157,COG0326
PCBHHBLN_00077,86067,89267,COG1202
PCBHHBLN_00078,89264,89698,COG1188
PCBHHBLN_00080,90487,90825,COG1146
PCBHHBLN_00082,92065,93153,COG0840
PCBHHBLN_00083,93437,94525,COG0840
PCBHHBLN_00084,95314,96393,COG0840
PCBHHBLN_00086,97502,98458,COG0596
PCBHHBLN_00088,99908,100360,COG1671
PCBHHBLN_00090,101782,102804,COG0604
PCBHHBLN_00091,102925,104814,COG0514
PCBHHBLN_00093,105336,105770,COG1487
PCBHHBLN_00094,106146,107423,COG1653
