id,start,end,OG
PNJLHNBB_00001,125,1579,COG0593
PNJLHNBB_00002,1586,2692,COG0592
PNJLHNBB_00003,2692,5283,COG0187
PNJLHNBB_00005,7137,8120,COG0320
PNJLHNBB_00006,8153,8824,COG0321
PNJLHNBB_00009,9845,10723,COG0356
PNJLHNBB_00011,11132,11602,COG0711
PNJLHNBB_00012,11636,12166,COG0712
PNJLHNBB_00013,12214,13770,COG0056
PNJLHNBB_00014,13800,14669,COG0224
PNJLHNBB_00016,16254,16670,COG0355
PNJLHNBB_00019,18362,18838,COG0757
PNJLHNBB_00027,27346,28074,COG1337
PNJLHNBB_00032,33569,34534,COG1518
PNJLHNBB_00038,39889,41385,COG3039
PNJLHNBB_00053,50976,51479,COG0394
PNJLHNBB_00054,51476,52543,COG0798
PNJLHNBB_00060,56240,56866,COG0625
PNJLHNBB_00061,56984,58453,COG0015
PNJLHNBB_00064,60708,61205,COG0315
PNJLHNBB_00065,61207,62058,COG1250
PNJLHNBB_00067,62993,65653,COG0454
PNJLHNBB_00069,66335,67270,COG0313
PNJLHNBB_00071,67719,68333,COG0279
PNJLHNBB_00074,70072,71208,COG2805
PNJLHNBB_00075,71228,72271,COG2805
PNJLHNBB_00076,72368,73000,COG0325
PNJLHNBB_00077,73043,76651,COG0506
PNJLHNBB_00078,76888,77352,COG1522
PNJLHNBB_00079,77568,78635,COG2423
PNJLHNBB_00080,78806,79225,COG1522
PNJLHNBB_00083,81834,82817,COG2423
PNJLHNBB_00085,84784,86283,COG0277
PNJLHNBB_00088,88336,89184,COG0788
PNJLHNBB_00089,89246,90175,COG1893
PNJLHNBB_00091,91838,92374,COG1522
PNJLHNBB_00092,92520,94448,COG0449
PNJLHNBB_00096,96408,97466,COG0803
PNJLHNBB_00097,97488,98564,COG0709
PNJLHNBB_00098,98608,99675,COG2603
PNJLHNBB_00101,101079,101774,COG0007
PNJLHNBB_00102,101778,103073,COG2895
PNJLHNBB_00103,103076,104035,COG0175
PNJLHNBB_00106,105336,107069,COG0155
PNJLHNBB_00107,107253,108026,COG0584
PNJLHNBB_00108,108232,109248,COG3839
PNJLHNBB_00110,110142,111023,COG1175
PNJLHNBB_00111,111127,112446,COG1653
PNJLHNBB_00112,112557,114197,COG0578
PNJLHNBB_00113,114400,115200,COG1349
PNJLHNBB_00115,115756,117168,COG0161
PNJLHNBB_00116,117253,117840,COG0500
PNJLHNBB_00117,117833,119035,COG2021
PNJLHNBB_00120,120680,121228,COG1778
PNJLHNBB_00121,121228,122229,COG0517
PNJLHNBB_00122,122361,124358,COG0475
PNJLHNBB_00123,124368,124913,COG0503
PNJLHNBB_00124,125077,125568,COG0835
PNJLHNBB_00131,135723,136736,COG0189
