id,start,end,OG
BCHFIOMB_00001,100,1524,COG0593
BCHFIOMB_00002,1782,2888,COG0592
BCHFIOMB_00003,3011,5515,COG0187
BCHFIOMB_00010,11596,12726,COG0436
BCHFIOMB_00012,13618,14853,COG0624
BCHFIOMB_00013,14970,15686,COG1802
BCHFIOMB_00015,16903,17730,COG0600
BCHFIOMB_00016,17777,18553,COG1116
BCHFIOMB_00020,21902,23338,COG0402
BCHFIOMB_00025,28898,30154,COG0025
BCHFIOMB_00027,32417,32926,COG2207
BCHFIOMB_00031,35696,36073,COG3039
BCHFIOMB_00033,37353,39650,COG0620
BCHFIOMB_00038,43400,44158,COG1126
BCHFIOMB_00039,44142,44795,COG0765
BCHFIOMB_00041,45531,46325,COG0834
BCHFIOMB_00043,47217,47552,COG1146
BCHFIOMB_00045,48426,49724,COG1593
BCHFIOMB_00046,49792,50823,COG1638
BCHFIOMB_00053,56723,57709,COG1879
BCHFIOMB_00054,57746,59251,COG1129
BCHFIOMB_00055,59284,60354,COG1172
BCHFIOMB_00063,67623,68825,COG2814
BCHFIOMB_00066,70005,71753,COG3243
BCHFIOMB_00067,71947,72258,COG4575
BCHFIOMB_00068,72335,73327,COG1064
BCHFIOMB_00069,73353,74351,COG4977
BCHFIOMB_00071,75552,75902,COG5507
BCHFIOMB_00079,81422,82069,COG1280
BCHFIOMB_00084,86268,87275,COG2378
BCHFIOMB_00086,88152,88919,COG0842
BCHFIOMB_00087,88916,89845,COG1131
BCHFIOMB_00091,93306,93884,COG0625
BCHFIOMB_00093,94353,95015,COG0400
BCHFIOMB_00095,96614,97372,COG0850
BCHFIOMB_00096,97403,98221,COG2894
BCHFIOMB_00097,98226,98483,COG0851
BCHFIOMB_00100,99306,99677,COG0720
BCHFIOMB_00104,102953,103414,COG0789
BCHFIOMB_00113,108926,110143,COG1690
BCHFIOMB_00114,110235,110819,COG0500
BCHFIOMB_00115,110816,111925,COG2021
BCHFIOMB_00117,112963,113583,COG0625
BCHFIOMB_00118,113773,115149,COG0015
BCHFIOMB_00119,115160,115894,COG2186
BCHFIOMB_00120,115992,116822,COG0284
BCHFIOMB_00123,119079,119813,COG4126
