id,start,end,OG
IKGOFDLH_00001,500,1849,COG0593
IKGOFDLH_00002,2111,3211,COG0592
IKGOFDLH_00004,3503,4606,COG1195
IKGOFDLH_00006,4921,6828,COG0187
IKGOFDLH_00007,6852,9332,COG0188
IKGOFDLH_00014,15612,16133,COG1827
IKGOFDLH_00022,19177,22656,COG3857
IKGOFDLH_00023,22749,26486,COG1074
IKGOFDLH_00028,29853,30743,COG0688
IKGOFDLH_00031,32807,34402,COG0488
IKGOFDLH_00034,36326,37129,COG0263
IKGOFDLH_00035,37156,38400,COG0014
IKGOFDLH_00036,38665,39024,COG1803
IKGOFDLH_00038,40726,41775,COG0505
IKGOFDLH_00042,47137,47916,COG0796
IKGOFDLH_00050,56282,56998,COG2045
IKGOFDLH_00055,62507,63505,COG1609
IKGOFDLH_00056,63744,64187,COG1846
IKGOFDLH_00059,65907,66482,COG2715
IKGOFDLH_00061,67174,68418,COG0006
IKGOFDLH_00066,75567,76124,COG1658
IKGOFDLH_00067,76125,76970,COG0030
IKGOFDLH_00073,82684,83523,COG0489
IKGOFDLH_00078,86621,88729,COG1328
IKGOFDLH_00081,92618,93127,COG0602
IKGOFDLH_00082,93293,93904,COG2094
IKGOFDLH_00086,96793,97875,COG1932
IKGOFDLH_00087,98377,99771,COG0017
IKGOFDLH_00089,100839,102218,COG0773
IKGOFDLH_00090,102506,103321,COG0503
IKGOFDLH_00093,105538,106503,COG0462
IKGOFDLH_00094,106822,107508,COG0745
IKGOFDLH_00099,114622,115170,COG2002
IKGOFDLH_00100,115266,116801,COG2244
IKGOFDLH_00118,122868,125264,COG2208
IKGOFDLH_00119,125531,126937,COG0037
IKGOFDLH_00121,127554,129362,COG0465
IKGOFDLH_00122,129566,131236,COG2759
IKGOFDLH_00123,131428,132228,COG1521
IKGOFDLH_00124,132278,133243,COG0042
IKGOFDLH_00125,133724,134206,COG0782
IKGOFDLH_00133,140088,141464,COG0771
IKGOFDLH_00145,151610,152770,COG1473
IKGOFDLH_00147,153409,154050,COG0125
IKGOFDLH_00148,154124,154456,COG3870
IKGOFDLH_00152,156655,156825,COG1145
IKGOFDLH_00155,158181,158759,COG3880
IKGOFDLH_00157,159791,162265,COG0542
IKGOFDLH_00158,162396,163331,COG0492
IKGOFDLH_00159,163407,163634,COG0695
IKGOFDLH_00160,164122,165498,COG1066
IKGOFDLH_00162,167044,168144,COG4956
IKGOFDLH_00163,168166,168846,COG1211
IKGOFDLH_00165,170971,172371,COG0215
IKGOFDLH_00166,172421,172834,COG1939
IKGOFDLH_00169,174353,175000,COG1595
IKGOFDLH_00171,175218,176411,COG0050
IKGOFDLH_00175,177655,178080,COG0080
IKGOFDLH_00177,179029,179532,COG0244
IKGOFDLH_00179,180279,183989,COG0085
IKGOFDLH_00180,184011,187547,COG0086
IKGOFDLH_00181,187804,188181,COG0048
IKGOFDLH_00183,188885,190951,COG0480
IKGOFDLH_00184,191139,192332,COG0050
IKGOFDLH_00185,192789,193097,COG0051
IKGOFDLH_00186,193171,193800,COG0087
IKGOFDLH_00191,196000,196335,COG0091
IKGOFDLH_00192,196360,197025,COG0092
IKGOFDLH_00193,197043,197477,COG0197
IKGOFDLH_00195,197713,197967,COG0186
IKGOFDLH_00196,197996,198364,COG0093
IKGOFDLH_00199,199273,199458,COG0199
IKGOFDLH_00200,199491,199889,COG0096
IKGOFDLH_00203,200899,201396,COG0098
IKGOFDLH_00204,201409,201588,COG1841
IKGOFDLH_00205,201610,202050,COG0200
IKGOFDLH_00206,202052,203350,COG0201
IKGOFDLH_00208,204026,204775,COG0024
IKGOFDLH_00210,205152,205370,COG0361
IKGOFDLH_00211,205425,205538,COG0257
IKGOFDLH_00212,205748,206116,COG0099
IKGOFDLH_00214,206558,207178,COG0522
IKGOFDLH_00215,207281,208228,COG0202
IKGOFDLH_00218,209652,210521,COG1122
IKGOFDLH_00219,210530,211336,COG0619
IKGOFDLH_00220,211353,212087,COG0101
IKGOFDLH_00221,212248,212682,COG0102
IKGOFDLH_00223,213618,214280,COG0860
IKGOFDLH_00225,214859,215701,COG1951
IKGOFDLH_00226,215906,216463,COG1838
IKGOFDLH_00228,217331,218023,COG0745
IKGOFDLH_00230,219547,221778,COG0209
IKGOFDLH_00231,222040,223074,COG0208
IKGOFDLH_00232,223305,224924,COG1080
IKGOFDLH_00236,228596,229444,COG1624
IKGOFDLH_00239,232683,233591,COG0280
IKGOFDLH_00240,233736,234803,COG3426
IKGOFDLH_00243,236272,237087,COG0801
IKGOFDLH_00246,238903,240249,COG1109
IKGOFDLH_00248,241521,242030,COG0440
IKGOFDLH_00249,242096,243691,COG0119
IKGOFDLH_00252,245604,246686,COG0473
IKGOFDLH_00253,246756,248429,COG0028
IKGOFDLH_00256,250207,251520,COG2182
IKGOFDLH_00257,251629,252495,COG1175
IKGOFDLH_00258,252495,253394,COG0395
IKGOFDLH_00259,253699,255189,COG1640
IKGOFDLH_00260,255575,256576,COG1609
IKGOFDLH_00261,256885,258285,COG0840
IKGOFDLH_00263,259991,261427,COG0845
IKGOFDLH_00264,261433,262170,COG1136
IKGOFDLH_00266,264049,265197,COG0626
IKGOFDLH_00267,265231,266367,COG0626
IKGOFDLH_00269,267545,268954,COG2213
IKGOFDLH_00271,271544,271984,COG2213
IKGOFDLH_00272,271986,273131,COG0246
IKGOFDLH_00273,273796,275622,COG0449
IKGOFDLH_00276,277795,278346,COG0655
IKGOFDLH_00277,278558,279883,COG2807
IKGOFDLH_00289,287600,289861,COG0058
IKGOFDLH_00291,291003,293006,COG0840
IKGOFDLH_00292,293159,293746,COG1592
IKGOFDLH_00295,295303,295893,COG0212
IKGOFDLH_00297,298689,300620,COG0441
IKGOFDLH_00303,305604,306080,COG0245
IKGOFDLH_00308,309872,310918,COG0502
IKGOFDLH_00310,314140,316803,COG0474
IKGOFDLH_00313,320361,321062,COG2186
IKGOFDLH_00314,321586,322374,COG2086
IKGOFDLH_00315,322430,323620,COG2025
IKGOFDLH_00316,323624,325027,COG0277
IKGOFDLH_00317,325367,325939,COG1595
IKGOFDLH_00319,327148,329502,COG1882
IKGOFDLH_00321,330652,331329,COG0176
IKGOFDLH_00322,331445,332512,COG0662
IKGOFDLH_00324,333992,334627,COG2344
IKGOFDLH_00325,335005,335790,COG1024
IKGOFDLH_00326,335875,337014,COG1960
IKGOFDLH_00327,337028,337807,COG2086
IKGOFDLH_00328,337830,338837,COG2025
IKGOFDLH_00329,339029,339877,COG1250
IKGOFDLH_00347,351506,351790,COG0234
IKGOFDLH_00348,351882,353507,COG0459
IKGOFDLH_00350,354665,356122,COG0516
IKGOFDLH_00353,359004,360929,COG1762
IKGOFDLH_00355,361412,361960,COG3730
IKGOFDLH_00356,361978,362988,COG3732
IKGOFDLH_00357,363105,363785,COG0176
IKGOFDLH_00358,363850,364218,COG3731
IKGOFDLH_00360,365529,366878,COG0166
IKGOFDLH_00364,371245,371961,COG1187
IKGOFDLH_00365,372178,372843,COG0778
IKGOFDLH_00366,372978,373322,COG1733
IKGOFDLH_00369,374358,375995,COG0840
IKGOFDLH_00371,378553,380544,COG0272
IKGOFDLH_00376,385650,386264,COG0127
IKGOFDLH_00404,397383,399443,COG3590
IKGOFDLH_00410,406253,407638,COG0312
IKGOFDLH_00411,407641,408984,COG0312
IKGOFDLH_00418,415459,416478,COG0533
IKGOFDLH_00421,419184,419492,COG1447
IKGOFDLH_00431,429963,430205,COG4466
IKGOFDLH_00435,436169,437011,COG1947
IKGOFDLH_00441,442342,443448,COG0707
IKGOFDLH_00442,443662,443871,COG0254
IKGOFDLH_00443,444061,444645,COG1435
IKGOFDLH_00445,446567,447649,COG0216
IKGOFDLH_00447,448358,449407,COG0009
IKGOFDLH_00448,449458,449907,COG0698
IKGOFDLH_00451,451583,452731,COG0381
IKGOFDLH_00452,452853,454034,COG0183
IKGOFDLH_00454,455122,455802,COG0356
IKGOFDLH_00456,456125,456604,COG0711
IKGOFDLH_00458,457157,458671,COG0056
IKGOFDLH_00459,458713,459564,COG0224
IKGOFDLH_00460,459579,460970,COG0055
IKGOFDLH_00461,460986,461393,COG0355
IKGOFDLH_00463,462420,463682,COG0766
IKGOFDLH_00465,465748,466485,COG0739
IKGOFDLH_00467,466927,467961,COG1077
IKGOFDLH_00478,471964,474192,COG0507
IKGOFDLH_00481,476272,476805,COG1544
IKGOFDLH_00482,477150,479708,COG0653
IKGOFDLH_00485,481639,482334,COG0745
IKGOFDLH_00489,485442,487619,COG2183
IKGOFDLH_00490,487877,488833,COG0673
IKGOFDLH_00493,491399,492223,COG0789
IKGOFDLH_00496,493190,494083,COG1940
IKGOFDLH_00498,497086,497553,COG0350
IKGOFDLH_00499,497788,498405,COG1349
IKGOFDLH_00500,498537,499349,COG0561
IKGOFDLH_00501,499593,500402,COG1414
IKGOFDLH_00504,502602,503228,COG0800
IKGOFDLH_00505,503533,503922,COG2703
IKGOFDLH_00507,505754,505915,COG1773
IKGOFDLH_00508,506112,506876,COG1349
IKGOFDLH_00509,507029,507469,COG0456
IKGOFDLH_00510,507469,508203,COG1214
IKGOFDLH_00511,508200,508661,COG0802
IKGOFDLH_00514,510482,510862,COG0251
IKGOFDLH_00522,518442,519338,COG0803
IKGOFDLH_00527,524017,524667,COG1842
IKGOFDLH_00529,525734,526888,COG0539
IKGOFDLH_00531,528543,530000,COG2195
IKGOFDLH_00534,532272,532838,COG0424
IKGOFDLH_00536,533600,534616,COG1077
IKGOFDLH_00537,534619,535467,COG1792
IKGOFDLH_00540,539020,539700,COG1489
IKGOFDLH_00541,539900,540559,COG0850
IKGOFDLH_00542,540580,541380,COG2894
IKGOFDLH_00552,555458,556906,COG1530
IKGOFDLH_00553,557082,557393,COG0261
IKGOFDLH_00555,557792,558091,COG0211
IKGOFDLH_00556,558392,559684,COG0536
IKGOFDLH_00557,559835,560137,COG1534
IKGOFDLH_00558,560300,560914,COG1057
IKGOFDLH_00561,563173,564072,COG0564
IKGOFDLH_00562,564147,565043,COG0583
IKGOFDLH_00563,565165,566250,COG0136
IKGOFDLH_00568,569901,571256,COG2265
IKGOFDLH_00571,573415,574794,COG0534
IKGOFDLH_00572,575521,575886,COG0784
IKGOFDLH_00576,580447,580893,COG1762
IKGOFDLH_00578,581286,582704,COG3775
IKGOFDLH_00579,583099,584157,COG1063
IKGOFDLH_00580,584171,584989,COG3959
IKGOFDLH_00581,584989,585906,COG3958
IKGOFDLH_00582,585922,586581,COG0036
IKGOFDLH_00583,586613,587056,COG0698
IKGOFDLH_00584,587083,587772,COG0235
IKGOFDLH_00585,587906,589441,COG1109
