id,start,end,OG
EGFAOCGG_00001,501,1862,COG0593
EGFAOCGG_00002,2069,3211,COG0592
EGFAOCGG_00004,3513,4625,COG1195
EGFAOCGG_00006,4897,6810,COG0187
EGFAOCGG_00007,6954,9464,COG0188
EGFAOCGG_00012,16207,17670,COG0516
EGFAOCGG_00012,16207,17670,COG0516
EGFAOCGG_00012,16207,17670,COG0517
EGFAOCGG_00013,17779,19104,COG1686
EGFAOCGG_00014,19475,20761,COG0172
EGFAOCGG_00015,20939,21736,COG1028
EGFAOCGG_00017,23323,24828,COG0579
EGFAOCGG_00019,26753,26962,COG1476
EGFAOCGG_00021,27739,28107,COG2315
EGFAOCGG_00027,31758,32042,COG4584
EGFAOCGG_00032,36231,36989,COG0310
EGFAOCGG_00034,37291,38082,COG0619
EGFAOCGG_00035,38088,38933,COG1122
EGFAOCGG_00036,38958,40574,COG1010
EGFAOCGG_00037,40595,41515,COG2138
EGFAOCGG_00039,42295,42945,COG2082
EGFAOCGG_00040,42948,44054,COG1903
EGFAOCGG_00041,44033,45241,COG2242
EGFAOCGG_00041,44033,45241,COG2241
EGFAOCGG_00042,45241,45948,COG2243
EGFAOCGG_00043,45945,46721,COG2875
EGFAOCGG_00045,47881,49293,COG1797
EGFAOCGG_00046,49290,50765,COG0007
EGFAOCGG_00048,51371,51649,COG0776
EGFAOCGG_00049,51724,52386,COG1842
EGFAOCGG_00051,53144,53857,COG0515
EGFAOCGG_00053,55840,56601,COG1024
EGFAOCGG_00054,56624,57484,COG1250
EGFAOCGG_00055,57486,58625,COG1960
EGFAOCGG_00056,58635,59342,COG0596
EGFAOCGG_00057,59608,61161,COG0364
EGFAOCGG_00058,61167,61805,COG1878
EGFAOCGG_00059,61969,62439,COG0590
EGFAOCGG_00060,62515,63720,COG0842
EGFAOCGG_00062,65115,65705,COG1309
EGFAOCGG_00068,70344,71780,COG0642
EGFAOCGG_00068,70344,71780,COG2202
EGFAOCGG_00069,71934,73646,COG2812
EGFAOCGG_00070,73658,73978,COG0718
EGFAOCGG_00071,74002,74598,COG0353
EGFAOCGG_00073,74765,75715,COG1266
EGFAOCGG_00083,84701,85342,COG0125
EGFAOCGG_00086,86881,87693,COG1774
EGFAOCGG_00088,88190,88948,COG4123
EGFAOCGG_00089,88951,89841,COG0313
EGFAOCGG_00090,89882,90130,COG2002
EGFAOCGG_00092,90793,92895,COG0143
EGFAOCGG_00092,90793,92895,COG0073
EGFAOCGG_00093,92925,93698,COG0084
EGFAOCGG_00095,95010,95561,COG1658
EGFAOCGG_00096,95558,96442,COG0030
EGFAOCGG_00098,97626,97898,COG4466
