id,start,end,OG
HOICKCKO_00001,337,2799,COG0527
HOICKCKO_00001,337,2799,COG0460
HOICKCKO_00002,2801,3733,COG0083
HOICKCKO_00003,3734,5020,COG0498
HOICKCKO_00005,5683,6459,COG3022
HOICKCKO_00006,6529,7959,COG1115
HOICKCKO_00007,8238,9191,COG0176
HOICKCKO_00008,9306,9893,COG0521
HOICKCKO_00009,9928,10494,COG1584
HOICKCKO_00010,10643,11356,COG4735
HOICKCKO_00012,12163,14079,COG0443
HOICKCKO_00013,14168,15298,COG0484
HOICKCKO_00017,17489,18655,COG3004
HOICKCKO_00018,18721,19620,COG0583
HOICKCKO_00019,19811,20188,COG1662
HOICKCKO_00020,20233,20508,COG3677
HOICKCKO_00021,20815,21078,COG0268
HOICKCKO_00022,21407,22348,COG0196
HOICKCKO_00023,22391,25207,COG0060
HOICKCKO_00024,25207,25701,COG0597
HOICKCKO_00025,25826,26275,COG1047
HOICKCKO_00026,26277,27227,COG0761
HOICKCKO_00027,27293,28207,COG1957
HOICKCKO_00028,28374,29195,COG0289
HOICKCKO_00029,29651,30799,COG0505
HOICKCKO_00030,30817,34038,COG0458
HOICKCKO_00030,30817,34038,COG0458
HOICKCKO_00032,34781,35371,COG0663
HOICKCKO_00033,35377,36162,COG1024
HOICKCKO_00034,36271,37824,COG0318
HOICKCKO_00035,37898,39115,COG1804
HOICKCKO_00036,39244,40386,COG1960
HOICKCKO_00037,40417,41931,COG1292
HOICKCKO_00038,42403,43173,COG2086
HOICKCKO_00039,43188,44129,COG2025
HOICKCKO_00040,44180,45466,COG0644
HOICKCKO_00041,45463,45750,COG2440
HOICKCKO_00043,47246,47776,COG2249
HOICKCKO_00044,47769,49631,COG0475
HOICKCKO_00044,47769,49631,COG1226
HOICKCKO_00045,49712,50302,COG0262
HOICKCKO_00046,50380,51222,COG0639
HOICKCKO_00047,51229,51606,COG2967
HOICKCKO_00048,51609,52430,COG0030
HOICKCKO_00049,52427,53416,COG1995
HOICKCKO_00050,53416,54702,COG0760
HOICKCKO_00051,54755,57109,COG1452
HOICKCKO_00052,57364,58179,COG1076
HOICKCKO_00055,59687,60346,COG0564
HOICKCKO_00056,60358,63264,COG0553
HOICKCKO_00057,63429,65780,COG0417
HOICKCKO_00058,65855,66550,COG0235
HOICKCKO_00059,66835,68337,COG2160
HOICKCKO_00060,68348,70048,COG1069
HOICKCKO_00061,70387,71265,COG2207
HOICKCKO_00062,71351,72115,COG0586
HOICKCKO_00063,72229,72927,COG3840
HOICKCKO_00064,72911,74521,COG1178
HOICKCKO_00065,74497,75480,COG4143
HOICKCKO_00066,75644,77299,COG4533
HOICKCKO_00069,78848,79453,COG0066
HOICKCKO_00070,79464,80864,COG0065
HOICKCKO_00071,80867,81958,COG0473
HOICKCKO_00072,81958,83529,COG0119
HOICKCKO_00073,84368,85312,COG0583
HOICKCKO_00074,85630,87354,COG0028
HOICKCKO_00075,87357,87848,COG0440
HOICKCKO_00076,88028,89032,COG1609
HOICKCKO_00077,89634,90092,COG2001
HOICKCKO_00078,90094,91035,COG0275
HOICKCKO_00079,91032,91397,COG3116
HOICKCKO_00080,91413,93179,COG0768
HOICKCKO_00081,93166,94653,COG0769
HOICKCKO_00082,94650,96008,COG0770
HOICKCKO_00083,96002,97084,COG0472
HOICKCKO_00084,97087,98403,COG0771
HOICKCKO_00085,98403,99647,COG0772
HOICKCKO_00086,99644,100711,COG0707
HOICKCKO_00087,100765,102240,COG0773
HOICKCKO_00088,102233,103153,COG1181
HOICKCKO_00089,103155,103985,COG1589
HOICKCKO_00090,103982,105244,COG0849
HOICKCKO_00091,105305,106456,COG0206
HOICKCKO_00092,106557,107474,COG0774
HOICKCKO_00094,108279,110984,COG0653
HOICKCKO_00096,111649,111846,COG3024
HOICKCKO_00097,111856,112599,COG4582
HOICKCKO_00098,112599,113219,COG0237
HOICKCKO_00099,113444,114487,COG0516
HOICKCKO_00100,114522,115724,COG1459
HOICKCKO_00101,115714,117099,COG2804
HOICKCKO_00102,117109,117549,COG4969
HOICKCKO_00103,117752,118645,COG0157
HOICKCKO_00104,118733,119284,COG3023
HOICKCKO_00105,119281,120135,COG3725
HOICKCKO_00106,120178,121548,COG1113
HOICKCKO_00107,122092,122856,COG2186
HOICKCKO_00108,123017,125680,COG2609
HOICKCKO_00109,125695,127587,COG0508
HOICKCKO_00110,127912,129336,COG1249
HOICKCKO_00112,131615,134212,COG1049
HOICKCKO_00113,134388,134750,COG3112
HOICKCKO_00114,134788,135582,COG1586
HOICKCKO_00115,135598,136464,COG0421
HOICKCKO_00117,137083,138633,COG2132
HOICKCKO_00118,138835,141225,COG4993
