id,start,end,OG
GEDGBGHK_00001,500,1849,COG0593
GEDGBGHK_00002,2111,3211,COG0592
GEDGBGHK_00003,3242,3454,COG2501
GEDGBGHK_00004,3503,4606,COG1195
GEDGBGHK_00005,4606,4866,ROG0244
GEDGBGHK_00006,4921,6828,COG0187
GEDGBGHK_00007,6852,9332,COG0188
GEDGBGHK_00013,15082,15597,ROG0716
GEDGBGHK_00014,15612,16133,COG1827
GEDGBGHK_00015,16136,17521,COG0579
GEDGBGHK_00016,17538,17765,COG3862
GEDGBGHK_00021,18665,19180,COG1670
GEDGBGHK_00022,19177,22656,COG3857
GEDGBGHK_00023,22749,26486,COG1074
GEDGBGHK_00024,26557,27738,COG1376
GEDGBGHK_00025,27954,28436,ROG3118
GEDGBGHK_00026,28609,29556,COG2205
GEDGBGHK_00028,29853,30743,COG0688
GEDGBGHK_00029,31125,31709,COG1309
GEDGBGHK_00030,31871,32659,COG0561
GEDGBGHK_00031,32807,34402,COG0488
GEDGBGHK_00032,34635,35228,ROG0143
GEDGBGHK_00033,35450,36097,COG1272
GEDGBGHK_00034,36326,37129,COG0263
GEDGBGHK_00035,37156,38400,COG0014
GEDGBGHK_00036,38665,39024,COG1803
GEDGBGHK_00037,39333,40112,COG0300
GEDGBGHK_00038,40726,41775,COG0505
GEDGBGHK_00039,41790,44999,COG0458
GEDGBGHK_00041,45557,46666,COG2206
GEDGBGHK_00042,47137,47916,COG0796
GEDGBGHK_00043,48023,48547,COG0652
GEDGBGHK_00044,48600,48974,ROG3051
GEDGBGHK_00045,48976,49644,ROG1061
GEDGBGHK_00046,49797,52982,COG1404
GEDGBGHK_00047,53103,54059,COG1313
GEDGBGHK_00048,54117,55193,COG3949
GEDGBGHK_00049,55312,56241,COG1242
GEDGBGHK_00050,56282,56998,COG2045
GEDGBGHK_00051,57100,57318,ROG4359
GEDGBGHK_00052,58226,58528,COG4640
GEDGBGHK_00054,59132,62245,COG0060
GEDGBGHK_00055,62507,63505,COG1609
GEDGBGHK_00056,63744,64187,COG1846
GEDGBGHK_00057,64180,65553,COG0534
GEDGBGHK_00059,65907,66482,COG2715
GEDGBGHK_00060,66536,67057,COG0700
GEDGBGHK_00061,67174,68418,COG0006
GEDGBGHK_00062,68526,70301,COG0006
GEDGBGHK_00063,70974,72911,COG0143
GEDGBGHK_00064,73271,74056,COG0084
GEDGBGHK_00065,74352,75404,COG3584
GEDGBGHK_00066,75567,76124,COG1658
GEDGBGHK_00067,76125,76970,COG0030
GEDGBGHK_00068,77140,79158,ROG1267
GEDGBGHK_00069,79170,79742,ROG1851
GEDGBGHK_00070,79924,80862,ROG1025
GEDGBGHK_00071,81069,81839,COG0682
GEDGBGHK_00072,81829,82665,ROG2735
GEDGBGHK_00073,82684,83523,COG0489
GEDGBGHK_00074,83653,83844,COG1141
GEDGBGHK_00075,84075,84752,COG3859
GEDGBGHK_00077,85312,86160,COG1307
GEDGBGHK_00078,86621,88729,COG1328
GEDGBGHK_00079,89305,90474,COG0119
GEDGBGHK_00080,90490,92412,COG1048
GEDGBGHK_00081,92618,93127,COG0602
GEDGBGHK_00082,93293,93904,COG2094
GEDGBGHK_00084,94285,95250,COG0463
GEDGBGHK_00085,95326,96411,COG2206
GEDGBGHK_00086,96793,97875,COG1932
GEDGBGHK_00087,98377,99771,COG0017
GEDGBGHK_00088,100104,100802,COG0622
GEDGBGHK_00089,100839,102218,COG0773
GEDGBGHK_00090,102506,103321,COG0503
GEDGBGHK_00091,103652,103927,COG2088
GEDGBGHK_00092,104123,105490,COG1207
GEDGBGHK_00093,105538,106503,COG0462
GEDGBGHK_00094,106822,107508,COG0745
GEDGBGHK_00095,107509,108930,COG5002
GEDGBGHK_00096,108953,109528,COG0193
GEDGBGHK_00097,109543,113043,COG1197
GEDGBGHK_00098,113245,114366,COG0760
GEDGBGHK_00099,114622,115170,COG2002
GEDGBGHK_00100,115266,116801,COG2244
GEDGBGHK_00101,116819,118270,COG3956
GEDGBGHK_00102,118491,118766,COG0776
GEDGBGHK_00103,118837,119097,COG1188
GEDGBGHK_00104,119301,119594,ROG0097
GEDGBGHK_00105,119604,119996,ROG1117
GEDGBGHK_00106,120074,120361,ROG1127
GEDGBGHK_00107,120511,120921,COG1098
GEDGBGHK_00118,122868,125264,COG2208
GEDGBGHK_00119,125531,126937,COG0037
GEDGBGHK_00120,126940,127479,COG0634
GEDGBGHK_00121,127554,129362,COG0465
GEDGBGHK_00122,129566,131236,COG2759
GEDGBGHK_00123,131428,132228,COG1521
GEDGBGHK_00124,132278,133243,COG0042
GEDGBGHK_00125,133724,134206,COG0782
GEDGBGHK_00126,134221,135726,COG1190
GEDGBGHK_00131,137437,138828,COG0423
GEDGBGHK_00132,138977,139732,COG0771
GEDGBGHK_00133,140088,141464,COG0771
GEDGBGHK_00134,141527,142549,ROG3945
GEDGBGHK_00143,148948,150345,COG0477
GEDGBGHK_00144,150385,151332,COG0598
GEDGBGHK_00146,153177,153359,ROG2177
GEDGBGHK_00147,153409,154050,COG0125
GEDGBGHK_00148,154124,154456,COG3870
GEDGBGHK_00149,154476,155408,COG2812
GEDGBGHK_00150,155412,156317,COG1774
GEDGBGHK_00151,156329,156532,COG2608
GEDGBGHK_00152,156655,156825,COG1145
GEDGBGHK_00153,156891,157541,COG2220
GEDGBGHK_00154,157711,158166,COG4463
GEDGBGHK_00155,158181,158759,COG3880
GEDGBGHK_00156,158752,159765,COG3869
GEDGBGHK_00157,159791,162265,COG0542
GEDGBGHK_00158,162396,163331,COG0492
GEDGBGHK_00159,163407,163634,COG0695
GEDGBGHK_00160,164122,165498,COG1066
GEDGBGHK_00161,165725,166801,COG1623
GEDGBGHK_00162,167044,168144,COG4956
GEDGBGHK_00163,168166,168846,COG1211
GEDGBGHK_00164,169241,170953,COG0442
GEDGBGHK_00165,170971,172371,COG0215
GEDGBGHK_00166,172421,172834,COG1939
GEDGBGHK_00167,172865,173767,COG0566
GEDGBGHK_00168,173781,174293,COG3688
GEDGBGHK_00169,174353,175000,COG1191
GEDGBGHK_00171,175218,176411,COG0050
GEDGBGHK_00172,176589,176738,COG0267
GEDGBGHK_00173,176787,177017,COG0690
GEDGBGHK_00174,177055,177576,COG0250
GEDGBGHK_00175,177655,178080,COG0080
GEDGBGHK_00176,178135,178824,COG0081
GEDGBGHK_00177,179029,179532,COG0244
GEDGBGHK_00178,179583,179948,COG0222
GEDGBGHK_00179,180279,183989,COG0085
GEDGBGHK_00180,184011,187547,COG0086
GEDGBGHK_00181,187804,188181,COG0048
GEDGBGHK_00182,188331,188801,COG0049
GEDGBGHK_00183,188885,190951,COG0480
GEDGBGHK_00184,191139,192332,COG0050
GEDGBGHK_00185,192789,193097,COG0051
GEDGBGHK_00186,193171,193800,COG0087
GEDGBGHK_00187,193827,194447,COG0088
GEDGBGHK_00188,194447,194743,COG0089
GEDGBGHK_00189,194808,195641,COG0090
GEDGBGHK_00190,195707,195979,COG0185
GEDGBGHK_00191,196000,196335,COG0091
GEDGBGHK_00192,196360,197025,COG0092
GEDGBGHK_00193,197043,197477,COG0197
GEDGBGHK_00194,197477,197689,COG0255
GEDGBGHK_00195,197713,197967,COG0186
GEDGBGHK_00196,197996,198364,COG0093
GEDGBGHK_00197,198380,198694,COG0198
GEDGBGHK_00198,198717,199256,COG0094
GEDGBGHK_00199,199273,199458,COG0199
GEDGBGHK_00200,199491,199889,COG0096
GEDGBGHK_00201,199958,200500,COG0097
GEDGBGHK_00202,200519,200878,COG0256
GEDGBGHK_00203,200899,201396,COG0098
GEDGBGHK_00204,201409,201588,COG1841
GEDGBGHK_00205,201610,202050,COG0200
GEDGBGHK_00206,202052,203350,COG0201
GEDGBGHK_00207,203376,204026,COG0563
GEDGBGHK_00208,204026,204775,COG0024
GEDGBGHK_00209,204863,205144,COG2163
GEDGBGHK_00210,205152,205370,COG0361
GEDGBGHK_00211,205425,205538,COG0257
GEDGBGHK_00212,205748,206116,COG0099
GEDGBGHK_00213,206132,206527,COG0100
GEDGBGHK_00214,206558,207178,COG0522
GEDGBGHK_00215,207281,208228,COG0202
GEDGBGHK_00216,208241,208582,COG0203
GEDGBGHK_00217,208816,209667,COG1122
GEDGBGHK_00218,209652,210521,COG1122
GEDGBGHK_00219,210530,211336,COG0619
GEDGBGHK_00220,211353,212087,COG0101
GEDGBGHK_00221,212248,212682,COG0102
GEDGBGHK_00222,212709,213101,COG0103
GEDGBGHK_00223,213618,214280,COG0860
GEDGBGHK_00224,214277,214453,ROG5337
GEDGBGHK_00225,214859,215701,COG1951
GEDGBGHK_00226,215906,216463,COG1838
GEDGBGHK_00227,216504,217265,COG0457
GEDGBGHK_00228,217331,218023,COG0745
GEDGBGHK_00229,217995,219350,COG0642
GEDGBGHK_00230,219547,221778,COG0209
GEDGBGHK_00231,222040,223074,COG0208
GEDGBGHK_00232,223305,224924,COG1080
GEDGBGHK_00233,225076,226341,COG0457
GEDGBGHK_00234,226503,227678,COG0044
GEDGBGHK_00235,227749,228354,COG3773
GEDGBGHK_00236,228596,229444,COG1624
GEDGBGHK_00237,229417,230637,COG4856
GEDGBGHK_00238,230809,232410,COG2509
GEDGBGHK_00239,232683,233591,COG0280
GEDGBGHK_00240,233736,234803,COG3426
GEDGBGHK_00241,234951,235424,ROG1750
GEDGBGHK_00242,235441,236250,COG0294
GEDGBGHK_00243,236272,237087,COG0801
GEDGBGHK_00244,237126,237962,COG2013
GEDGBGHK_00245,238334,238687,COG4496
GEDGBGHK_00246,238903,240249,COG1109
GEDGBGHK_00248,241521,242030,COG0440
GEDGBGHK_00249,242096,243691,COG0119
GEDGBGHK_00250,243705,244964,COG0065
GEDGBGHK_00251,244978,245463,COG0066
GEDGBGHK_00252,245604,246686,COG0473
GEDGBGHK_00253,246756,248429,COG0028
GEDGBGHK_00254,248442,249446,COG0059
GEDGBGHK_00255,249570,249833,COG2827
GEDGBGHK_00256,250207,251520,COG1653
GEDGBGHK_00257,251629,252495,COG1175
GEDGBGHK_00258,252495,253394,COG0395
GEDGBGHK_00259,253699,255189,COG1640
GEDGBGHK_00260,255575,256576,COG1609
GEDGBGHK_00261,256885,258285,COG0840
GEDGBGHK_00262,258355,259560,COG2843
GEDGBGHK_00263,259991,261427,COG1566
GEDGBGHK_00264,261433,262170,COG1136
GEDGBGHK_00265,262161,263432,COG0577
GEDGBGHK_00266,264049,265197,COG0626
GEDGBGHK_00267,265231,266367,COG0626
GEDGBGHK_00268,266556,267041,COG1846
GEDGBGHK_00269,267545,268954,COG2213
GEDGBGHK_00270,269493,271544,COG3711
GEDGBGHK_00271,271544,271984,COG4668
GEDGBGHK_00272,271986,273131,COG0246
GEDGBGHK_00273,273796,275622,COG0449
GEDGBGHK_00274,275803,276414,COG1309
GEDGBGHK_00275,276544,277749,COG1073
GEDGBGHK_00276,277795,278346,COG0655
GEDGBGHK_00277,278558,279883,COG2807
GEDGBGHK_00278,279916,280311,COG1321
GEDGBGHK_00280,281003,281476,COG1321
GEDGBGHK_00281,281706,282284,COG1878
GEDGBGHK_00282,282452,282940,ROG6408
GEDGBGHK_00283,282957,283487,COG0840
GEDGBGHK_00285,284414,285247,ROG4504
GEDGBGHK_00287,285987,286622,COG1131
GEDGBGHK_00289,287600,289861,COG0058
GEDGBGHK_00290,289995,290666,COG2207
GEDGBGHK_00291,291003,293006,COG2972
GEDGBGHK_00292,293159,293746,COG1592
GEDGBGHK_00294,294404,295021,COG3758
GEDGBGHK_00295,295303,295893,COG0212
GEDGBGHK_00297,298689,300620,COG0441
GEDGBGHK_00298,301218,303695,COG0840
GEDGBGHK_00301,304070,304474,ROG3696
GEDGBGHK_00302,304745,305500,ROG7816
GEDGBGHK_00303,305604,306080,COG0245
GEDGBGHK_00305,306462,307493,ROG1474
GEDGBGHK_00306,307509,308468,COG0726
GEDGBGHK_00307,308875,309630,ROG0285
GEDGBGHK_00308,309872,310918,COG0502
GEDGBGHK_00309,311442,314036,COG1454
GEDGBGHK_00310,314140,316803,COG0474
GEDGBGHK_00311,317391,319100,COG0840
GEDGBGHK_00312,319335,320177,COG4667
GEDGBGHK_00313,320361,321062,COG2186
GEDGBGHK_00314,321586,322374,COG2086
GEDGBGHK_00315,322430,323620,COG2025
GEDGBGHK_00316,323624,325027,COG0277
GEDGBGHK_00317,325367,325939,COG1595
GEDGBGHK_00318,325958,326869,ROG7819
GEDGBGHK_00319,327148,329502,COG1882
GEDGBGHK_00320,329506,330441,COG1180
GEDGBGHK_00321,330652,331329,COG0176
GEDGBGHK_00322,331445,332512,COG0836
GEDGBGHK_00323,332876,333457,ROG3495
GEDGBGHK_00324,333992,334627,COG2344
GEDGBGHK_00325,335005,335790,COG1024
GEDGBGHK_00326,335875,337014,COG1960
GEDGBGHK_00327,337028,337807,COG2086
GEDGBGHK_00328,337830,338837,COG2025
GEDGBGHK_00329,339029,339877,COG1250
GEDGBGHK_00330,340400,341329,ROG4315
GEDGBGHK_00331,341396,342466,COG0582
GEDGBGHK_00332,342683,343045,COG2932
GEDGBGHK_00334,343363,343653,ROG6234
GEDGBGHK_00344,347725,347871,COG1277
GEDGBGHK_00345,347947,348705,ROG0360
GEDGBGHK_00346,349609,351099,COG4624
GEDGBGHK_00347,351506,351790,COG0234
GEDGBGHK_00348,351882,353507,COG0459
GEDGBGHK_00349,353832,354308,COG2165
GEDGBGHK_00350,354665,356122,COG0516
GEDGBGHK_00351,356310,357842,COG0519
GEDGBGHK_00352,358238,358561,COG1317
