id,start,end,OG
IKGOFDLH_00001,500,1849,COG0593
IKGOFDLH_00002,2111,3211,COG0592
IKGOFDLH_00004,3503,4606,COG1195
IKGOFDLH_00006,4921,6828,COG0187
IKGOFDLH_00007,6852,9332,COG0188
IKGOFDLH_00014,15612,16133,COG1827
IKGOFDLH_00016,17538,17765,COG3862
IKGOFDLH_00021,18665,19180,COG1670
IKGOFDLH_00023,22749,26486,COG1074
IKGOFDLH_00026,28609,29556,COG0642
IKGOFDLH_00028,29853,30743,COG0688
IKGOFDLH_00029,31125,31709,COG1309
IKGOFDLH_00030,31871,32659,COG0561
IKGOFDLH_00031,32807,34402,COG0488
IKGOFDLH_00033,35450,36097,COG1272
IKGOFDLH_00034,36326,37129,COG0263
IKGOFDLH_00035,37156,38400,COG0014
IKGOFDLH_00037,39333,40112,COG0300
IKGOFDLH_00038,40726,41775,COG0505
IKGOFDLH_00039,41790,44999,COG0458
IKGOFDLH_00039,41790,44999,COG0458
IKGOFDLH_00041,45557,46666,COG2206
IKGOFDLH_00042,47137,47916,COG0796
IKGOFDLH_00043,48023,48547,COG0652
IKGOFDLH_00045,48976,49644,COG1396
IKGOFDLH_00046,49797,52982,COG1404
IKGOFDLH_00046,49797,52982,COG3409
IKGOFDLH_00049,55312,56241,COG1242
IKGOFDLH_00054,59132,62245,COG0060
IKGOFDLH_00055,62507,63505,COG1609
IKGOFDLH_00056,63744,64187,COG1846
IKGOFDLH_00057,64180,65553,COG0534
IKGOFDLH_00061,67174,68418,COG0006
IKGOFDLH_00062,68526,70301,COG0006
IKGOFDLH_00063,70974,72911,COG0143
IKGOFDLH_00063,70974,72911,COG0073
IKGOFDLH_00064,73271,74056,COG0084
IKGOFDLH_00065,74352,75404,COG3584
IKGOFDLH_00066,75567,76124,COG1658
IKGOFDLH_00067,76125,76970,COG0030
IKGOFDLH_00073,82684,83523,COG0489
IKGOFDLH_00074,83653,83844,COG1141
IKGOFDLH_00077,85312,86160,COG1307
IKGOFDLH_00078,86621,88729,COG1328
IKGOFDLH_00079,89305,90474,COG0119
IKGOFDLH_00081,92618,93127,COG0602
IKGOFDLH_00082,93293,93904,COG2094
IKGOFDLH_00084,94285,95250,COG0463
IKGOFDLH_00085,95326,96411,COG2206
IKGOFDLH_00086,96793,97875,COG1932
IKGOFDLH_00087,98377,99771,COG0017
IKGOFDLH_00089,100839,102218,COG0773
IKGOFDLH_00090,102506,103321,COG0503
IKGOFDLH_00091,103652,103927,COG2088
IKGOFDLH_00092,104123,105490,COG1207
IKGOFDLH_00093,105538,106503,COG0462
IKGOFDLH_00094,106822,107508,COG0745
IKGOFDLH_00095,107509,108930,COG0642
IKGOFDLH_00096,108953,109528,COG0193
IKGOFDLH_00097,109543,113043,COG1197
IKGOFDLH_00098,113245,114366,COG0760
IKGOFDLH_00099,114622,115170,COG2002
IKGOFDLH_00100,115266,116801,COG2244
IKGOFDLH_00102,118491,118766,COG0776
IKGOFDLH_00103,118837,119097,COG1188
IKGOFDLH_00107,120511,120921,COG1098
IKGOFDLH_00119,125531,126937,COG0037
IKGOFDLH_00120,126940,127479,COG0634
IKGOFDLH_00121,127554,129362,COG0465
IKGOFDLH_00122,129566,131236,COG2759
IKGOFDLH_00123,131428,132228,COG1521
IKGOFDLH_00124,132278,133243,COG0042
IKGOFDLH_00125,133724,134206,COG0782
IKGOFDLH_00126,134221,135726,COG1190
IKGOFDLH_00131,137437,138828,COG0423
IKGOFDLH_00133,140088,141464,COG0771
IKGOFDLH_00144,150385,151332,COG0598
IKGOFDLH_00147,153409,154050,COG0125
IKGOFDLH_00150,155412,156317,COG1774
IKGOFDLH_00153,156891,157541,COG2220
IKGOFDLH_00157,159791,162265,COG0542
IKGOFDLH_00158,162396,163331,COG0492
IKGOFDLH_00159,163407,163634,COG0695
IKGOFDLH_00162,167044,168144,COG4956
IKGOFDLH_00163,168166,168846,COG1211
IKGOFDLH_00164,169241,170953,COG0442
IKGOFDLH_00165,170971,172371,COG0215
IKGOFDLH_00167,172865,173767,COG0566
IKGOFDLH_00169,174353,175000,COG1595
IKGOFDLH_00171,175218,176411,COG0050
IKGOFDLH_00172,176589,176738,COG0267
IKGOFDLH_00173,176787,177017,COG0690
IKGOFDLH_00174,177055,177576,COG0250
IKGOFDLH_00175,177655,178080,COG0080
IKGOFDLH_00176,178135,178824,COG0081
IKGOFDLH_00177,179029,179532,COG0244
IKGOFDLH_00178,179583,179948,COG0222
IKGOFDLH_00179,180279,183989,COG0085
IKGOFDLH_00180,184011,187547,COG0086
IKGOFDLH_00181,187804,188181,COG0048
IKGOFDLH_00182,188331,188801,COG0049
IKGOFDLH_00183,188885,190951,COG0480
IKGOFDLH_00184,191139,192332,COG0050
IKGOFDLH_00185,192789,193097,COG0051
IKGOFDLH_00186,193171,193800,COG0087
IKGOFDLH_00187,193827,194447,COG0088
IKGOFDLH_00188,194447,194743,COG0089
IKGOFDLH_00189,194808,195641,COG0090
IKGOFDLH_00190,195707,195979,COG0185
IKGOFDLH_00191,196000,196335,COG0091
IKGOFDLH_00192,196360,197025,COG0092
IKGOFDLH_00193,197043,197477,COG0197
IKGOFDLH_00194,197477,197689,COG0255
IKGOFDLH_00195,197713,197967,COG0186
IKGOFDLH_00196,197996,198364,COG0093
IKGOFDLH_00197,198380,198694,COG0198
IKGOFDLH_00198,198717,199256,COG0094
IKGOFDLH_00199,199273,199458,COG0199
IKGOFDLH_00200,199491,199889,COG0096
IKGOFDLH_00201,199958,200500,COG0097
IKGOFDLH_00202,200519,200878,COG0256
IKGOFDLH_00203,200899,201396,COG0098
IKGOFDLH_00204,201409,201588,COG1841
IKGOFDLH_00205,201610,202050,COG0200
IKGOFDLH_00206,202052,203350,COG0201
IKGOFDLH_00207,203376,204026,COG0563
IKGOFDLH_00208,204026,204775,COG0024
IKGOFDLH_00210,205152,205370,COG0361
IKGOFDLH_00211,205425,205538,COG0257
IKGOFDLH_00212,205748,206116,COG0099
IKGOFDLH_00213,206132,206527,COG0100
IKGOFDLH_00214,206558,207178,COG0522
IKGOFDLH_00215,207281,208228,COG0202
IKGOFDLH_00216,208241,208582,COG0203
IKGOFDLH_00217,208816,209667,COG1122
IKGOFDLH_00218,209652,210521,COG1122
IKGOFDLH_00219,210530,211336,COG0619
IKGOFDLH_00220,211353,212087,COG0101
IKGOFDLH_00221,212248,212682,COG0102
IKGOFDLH_00222,212709,213101,COG0103
IKGOFDLH_00223,213618,214280,COG0860
IKGOFDLH_00225,214859,215701,COG1951
IKGOFDLH_00226,215906,216463,COG1838
IKGOFDLH_00228,217331,218023,COG0745
IKGOFDLH_00229,217995,219350,COG0642
IKGOFDLH_00230,219547,221778,COG0209
IKGOFDLH_00231,222040,223074,COG0208
IKGOFDLH_00232,223305,224924,COG1080
IKGOFDLH_00236,228596,229444,COG1624
IKGOFDLH_00238,230809,232410,COG2509
IKGOFDLH_00239,232683,233591,COG0280
IKGOFDLH_00240,233736,234803,COG3426
IKGOFDLH_00242,235441,236250,COG0294
IKGOFDLH_00243,236272,237087,COG0801
IKGOFDLH_00243,236272,237087,COG1539
IKGOFDLH_00244,237126,237962,COG2013
IKGOFDLH_00246,238903,240249,COG1109
IKGOFDLH_00248,241521,242030,COG0440
IKGOFDLH_00249,242096,243691,COG0119
IKGOFDLH_00250,243705,244964,COG0065
IKGOFDLH_00251,244978,245463,COG0066
IKGOFDLH_00252,245604,246686,COG0473
IKGOFDLH_00253,246756,248429,COG0028
IKGOFDLH_00254,248442,249446,COG0059
IKGOFDLH_00255,249570,249833,COG2827
IKGOFDLH_00256,250207,251520,COG1653
IKGOFDLH_00257,251629,252495,COG1175
IKGOFDLH_00258,252495,253394,COG0395
IKGOFDLH_00259,253699,255189,COG1640
IKGOFDLH_00260,255575,256576,COG1609
IKGOFDLH_00261,256885,258285,COG0840
IKGOFDLH_00264,261433,262170,COG1136
IKGOFDLH_00265,262161,263432,COG0577
IKGOFDLH_00266,264049,265197,COG0626
IKGOFDLH_00267,265231,266367,COG0626
IKGOFDLH_00268,266556,267041,COG1846
IKGOFDLH_00269,267545,268954,COG2213
IKGOFDLH_00270,269493,271544,COG3711
IKGOFDLH_00271,271544,271984,COG4668
IKGOFDLH_00272,271986,273131,COG0246
IKGOFDLH_00273,273796,275622,COG0449
IKGOFDLH_00274,275803,276414,COG1309
IKGOFDLH_00276,277795,278346,COG0655
IKGOFDLH_00277,278558,279883,COG2807
IKGOFDLH_00278,279916,280311,COG1321
IKGOFDLH_00280,281003,281476,COG1846
IKGOFDLH_00282,282452,282940,COG1846
IKGOFDLH_00283,282957,283487,COG0840
IKGOFDLH_00287,285987,286622,COG1131
IKGOFDLH_00289,287600,289861,COG0058
IKGOFDLH_00290,289995,290666,COG2207
IKGOFDLH_00291,291003,293006,COG0840
IKGOFDLH_00292,293159,293746,COG1592
IKGOFDLH_00295,295303,295893,COG0212
IKGOFDLH_00297,298689,300620,COG0441
IKGOFDLH_00298,301218,303695,COG0840
IKGOFDLH_00303,305604,306080,COG0245
IKGOFDLH_00306,307509,308468,COG0726
IKGOFDLH_00308,309872,310918,COG0502
IKGOFDLH_00309,311442,314036,COG1454
IKGOFDLH_00309,311442,314036,COG1012
IKGOFDLH_00310,314140,316803,COG0474
IKGOFDLH_00311,317391,319100,COG0840
IKGOFDLH_00313,320361,321062,COG2186
IKGOFDLH_00314,321586,322374,COG2086
IKGOFDLH_00315,322430,323620,COG2025
IKGOFDLH_00315,322430,323620,COG1145
IKGOFDLH_00316,323624,325027,COG0277
IKGOFDLH_00317,325367,325939,COG1595
IKGOFDLH_00320,329506,330441,COG1180
IKGOFDLH_00321,330652,331329,COG0176
IKGOFDLH_00322,331445,332512,COG0836
IKGOFDLH_00324,333992,334627,COG2344
IKGOFDLH_00325,335005,335790,COG1024
IKGOFDLH_00326,335875,337014,COG1960
IKGOFDLH_00327,337028,337807,COG2086
IKGOFDLH_00328,337830,338837,COG2025
IKGOFDLH_00329,339029,339877,COG1250
IKGOFDLH_00332,342683,343045,COG1396
IKGOFDLH_00347,351506,351790,COG0234
IKGOFDLH_00348,351882,353507,COG0459
IKGOFDLH_00349,353832,354308,COG2165
IKGOFDLH_00350,354665,356122,COG0516
IKGOFDLH_00350,354665,356122,COG0516
IKGOFDLH_00350,354665,356122,COG0517
IKGOFDLH_00351,356310,357842,COG0519
IKGOFDLH_00351,356310,357842,COG0518
IKGOFDLH_00356,361978,362988,COG3732
IKGOFDLH_00357,363105,363785,COG0176
IKGOFDLH_00359,364300,365115,COG1028
IKGOFDLH_00360,365529,366878,COG0166
