id,start,end,OG
MJJCLBGC_00001,337,2799,COG0527
MJJCLBGC_00002,2801,3733,COG0083
MJJCLBGC_00003,3734,5020,COG0498
MJJCLBGC_00004,5234,5530,ROG2395
MJJCLBGC_00005,5683,6459,COG3022
MJJCLBGC_00006,6529,7959,COG1115
MJJCLBGC_00007,8238,9191,COG0176
MJJCLBGC_00008,9306,9893,COG0521
MJJCLBGC_00009,9928,10494,COG1584
MJJCLBGC_00010,10643,11356,COG4735
MJJCLBGC_00012,12163,14079,COG0443
MJJCLBGC_00013,14168,15298,COG0484
MJJCLBGC_00014,15445,16557,COG3385
MJJCLBGC_00017,17489,18655,COG3004
MJJCLBGC_00018,18721,19620,COG0583
MJJCLBGC_00019,19811,20188,COG1662
MJJCLBGC_00020,20233,20508,COG3677
MJJCLBGC_00021,20815,21078,COG0268
MJJCLBGC_00022,21407,22348,COG0196
MJJCLBGC_00023,22391,25207,COG0060
MJJCLBGC_00024,25207,25701,COG0597
MJJCLBGC_00025,25826,26275,COG1047
MJJCLBGC_00026,26277,27227,COG0761
MJJCLBGC_00027,27293,28207,COG1957
MJJCLBGC_00028,28374,29195,COG0289
MJJCLBGC_00029,29651,30799,COG0505
MJJCLBGC_00030,30817,34038,COG0458
MJJCLBGC_00032,34781,35371,COG0663
MJJCLBGC_00033,35377,36162,COG1024
MJJCLBGC_00034,36271,37824,COG0318
MJJCLBGC_00035,37898,39115,COG1804
MJJCLBGC_00036,39244,40386,COG1960
MJJCLBGC_00037,40417,41931,COG1292
MJJCLBGC_00038,42403,43173,COG2086
MJJCLBGC_00039,43188,44129,COG2025
MJJCLBGC_00040,44180,45466,COG0644
MJJCLBGC_00041,45463,45750,COG2440
MJJCLBGC_00042,45807,47138,ROG2472
MJJCLBGC_00043,47246,47776,COG2249
MJJCLBGC_00044,47769,49631,COG0475
MJJCLBGC_00045,49712,50302,COG0262
MJJCLBGC_00046,50380,51222,COG1408
MJJCLBGC_00047,51229,51606,COG2967
MJJCLBGC_00048,51609,52430,COG0030
MJJCLBGC_00049,52427,53416,COG1995
MJJCLBGC_00050,53416,54702,COG0760
MJJCLBGC_00051,54755,57109,COG1452
MJJCLBGC_00052,57364,58179,COG1076
MJJCLBGC_00055,59687,60346,COG0564
MJJCLBGC_00056,60358,63264,COG0553
MJJCLBGC_00057,63429,65780,COG0417
MJJCLBGC_00058,65855,66550,COG0235
MJJCLBGC_00059,66835,68337,COG2160
MJJCLBGC_00060,68348,70048,COG1069
MJJCLBGC_00061,70387,71265,COG2207
MJJCLBGC_00062,71351,72115,COG0586
MJJCLBGC_00063,72229,72927,COG3840
MJJCLBGC_00064,72911,74521,COG1178
MJJCLBGC_00065,74497,75480,COG4143
MJJCLBGC_00066,75644,77299,COG4533
MJJCLBGC_00069,78848,79453,COG0066
MJJCLBGC_00070,79464,80864,COG0065
MJJCLBGC_00071,80867,81958,COG0473
MJJCLBGC_00072,81958,83529,COG0119
MJJCLBGC_00073,84368,85312,COG0583
MJJCLBGC_00074,85630,87354,COG0028
MJJCLBGC_00075,87357,87848,COG0440
MJJCLBGC_00076,88028,89032,COG1609
MJJCLBGC_00077,89634,90092,COG2001
MJJCLBGC_00078,90094,91035,COG0275
MJJCLBGC_00079,91032,91397,COG3116
MJJCLBGC_00080,91413,93179,COG0768
MJJCLBGC_00081,93166,94653,COG0769
MJJCLBGC_00082,94650,96008,COG0770
MJJCLBGC_00083,96002,97084,COG0472
MJJCLBGC_00084,97087,98403,COG0771
MJJCLBGC_00085,98403,99647,COG0772
MJJCLBGC_00086,99644,100711,COG0707
MJJCLBGC_00087,100765,102240,COG0773
MJJCLBGC_00088,102233,103153,COG1181
MJJCLBGC_00089,103155,103985,COG1589
MJJCLBGC_00090,103982,105244,COG0849
MJJCLBGC_00091,105305,106456,COG0206
MJJCLBGC_00092,106557,107474,COG0774
MJJCLBGC_00094,108279,110984,COG0653
MJJCLBGC_00095,111044,111433,COG0494
MJJCLBGC_00096,111649,111846,COG3024
MJJCLBGC_00097,111856,112599,COG4582
MJJCLBGC_00098,112599,113219,COG0237
MJJCLBGC_00099,113444,114487,COG0516
MJJCLBGC_00100,114522,115724,COG1459
MJJCLBGC_00101,115714,117099,COG2804
MJJCLBGC_00102,117109,117549,COG4969
MJJCLBGC_00103,117752,118645,COG0157
MJJCLBGC_00104,118733,119284,COG3023
MJJCLBGC_00105,119281,120135,COG3725
MJJCLBGC_00106,120178,121548,COG1113
MJJCLBGC_00107,122092,122856,COG2186
MJJCLBGC_00108,123017,125680,COG2609
MJJCLBGC_00109,125695,127587,COG0508
MJJCLBGC_00110,127912,129336,COG1249
MJJCLBGC_00111,129407,131260,ROG0224
