id,start,end,OG
CP011966.3_1,500,1849,COG0593
CP011966.3_2,2111,3211,COG0592
CP011966.3_3,3242,3454,COG2501
CP011966.3_4,3503,4606,COG1195
CP011966.3_5,4606,4866,2E36Q
CP011966.3_6,4921,6828,COG0187
CP011966.3_7,6852,9332,COG0188
CP011966.3_8,15082,15597,COG2206
CP011966.3_9,15612,16133,COG1827
CP011966.3_10,16136,17521,COG0579
CP011966.3_11,17538,17765,COG3862
CP011966.3_12,18665,19180,COG1670
CP011966.3_13,19177,22656,COG3857
CP011966.3_14,22749,26486,COG1074
CP011966.3_15,26557,27738,COG1376
CP011966.3_16,27954,28436,COG5521
CP011966.3_17,28609,29556,COG0642
CP011966.3_18,29853,30743,COG0688
CP011966.3_19,31125,31709,COG1309
CP011966.3_20,31871,32659,COG0561
CP011966.3_21,32807,34402,COG0488
CP011966.3_22,34635,35228,COG0789
CP011966.3_23,35450,36097,COG1272
CP011966.3_24,36326,37129,COG0263
CP011966.3_25,37156,38400,COG0014
CP011966.3_26,38665,39024,COG1803
CP011966.3_27,39333,40112,COG0300
CP011966.3_28,40726,41775,COG0505
CP011966.3_29,41790,44999,COG0458
CP011966.3_30,45198,45434,2BH4T
CP011966.3_31,45557,46666,COG2206
CP011966.3_32,47137,47916,COG0796
CP011966.3_33,48023,48547,COG0652
CP011966.3_34,48600,48974,2EMT9
CP011966.3_35,48976,49644,COG1813
CP011966.3_36,49797,52982,COG1404
CP011966.3_37,53103,54059,COG1313
CP011966.3_38,54117,55193,COG3949
CP011966.3_39,55312,56241,COG1242
CP011966.3_40,56282,56998,COG2045
CP011966.3_41,57100,57318,COG1251
CP011966.3_42,58226,58528,COG1198
CP011966.3_44,59132,62245,COG0060
CP011966.3_45,62507,63505,COG1609
CP011966.3_46,63744,64187,COG1846
CP011966.3_47,64180,65553,COG0534
CP011966.3_48,65609,65794,2936M
CP011966.3_49,65907,66482,COG2715
CP011966.3_50,66536,67057,COG0700
CP011966.3_51,67174,68418,COG0006
CP011966.3_52,68526,70301,COG0006
CP011966.3_53,70974,72911,COG0143
CP011966.3_54,73271,74056,COG0084
CP011966.3_55,74352,75404,COG3583
CP011966.3_56,75567,76124,COG1658
CP011966.3_57,76125,76970,COG0030
CP011966.3_58,77140,79158,COG3064
CP011966.3_59,79170,79742,2EB32
CP011966.3_60,79924,80862,COG3039
CP011966.3_61,81069,81839,COG0682
CP011966.3_62,81829,82665,29G8B
CP011966.3_63,82684,83523,COG0489
CP011966.3_64,83653,83844,COG1141
CP011966.3_65,84075,84752,COG3859
CP011966.3_66,84943,85149,2A7TU
CP011966.3_67,85312,86160,COG1307
CP011966.3_68,86621,88729,COG1328
CP011966.3_69,89305,90474,COG0119
CP011966.3_70,90490,92412,COG1048
CP011966.3_71,92618,93127,COG0602
CP011966.3_72,93293,93904,COG2094
CP011966.3_74,94285,95250,COG0463
CP011966.3_75,95326,96411,COG2206
CP011966.3_76,96793,97875,COG1932
CP011966.3_77,98377,99771,COG0017
CP011966.3_78,100104,100802,COG0639
CP011966.3_79,100839,102218,COG0773
CP011966.3_80,102506,103321,COG0503
CP011966.3_81,103652,103927,COG2088
CP011966.3_82,104123,105490,COG1207
CP011966.3_83,105538,106503,COG0462
CP011966.3_84,106822,107508,COG0745
CP011966.3_85,107509,108930,COG5002
CP011966.3_86,108953,109528,COG0193
CP011966.3_87,109543,113043,COG1197
CP011966.3_88,113245,114366,COG0760
CP011966.3_89,114622,115170,COG2002
CP011966.3_90,115266,116801,COG2244
CP011966.3_91,116819,118270,COG1694
CP011966.3_92,118491,118766,COG0776
CP011966.3_93,118837,119097,COG1188
CP011966.3_94,119301,119594,2E3ZZ
CP011966.3_95,119604,119996,2EFTM
CP011966.3_96,120074,120361,COG2919
CP011966.3_97,120511,120921,COG1098
CP011966.3_98,122868,125264,COG2208
CP011966.3_99,125531,126937,COG0037
CP011966.3_100,126940,127479,COG0634
CP011966.3_101,127554,129362,COG0465
CP011966.3_102,129566,131236,COG2759
CP011966.3_103,131428,132228,COG1521
CP011966.3_104,132278,133243,COG0042
CP011966.3_105,133724,134206,COG0782
CP011966.3_106,134221,135726,COG1190
CP011966.3_108,137437,138828,COG0423
CP011966.3_109,138977,139732,COG0771
CP011966.3_110,140088,141464,COG0771
CP011966.3_111,141527,142549,COG1520
CP011966.3_113,148948,150345,COG0477
CP011966.3_114,150385,151332,COG0598
CP011966.3_115,151610,152770,COG1473
CP011966.3_116,153177,153359,2BAPE
CP011966.3_117,153409,154050,COG0125
CP011966.3_118,154124,154456,COG3870
CP011966.3_119,154476,155408,COG0470
CP011966.3_120,155412,156317,COG1774
CP011966.3_121,156329,156532,COG2608
CP011966.3_122,156655,156825,COG2768
CP011966.3_123,156891,157541,COG2220
CP011966.3_124,157711,158166,COG4463
CP011966.3_125,158181,158759,COG3880
CP011966.3_126,158752,159765,COG3869
CP011966.3_127,159791,162265,COG0542
CP011966.3_128,162396,163331,COG0492
CP011966.3_129,163407,163634,COG0695
CP011966.3_130,164122,165498,COG1066
CP011966.3_131,165725,166801,COG1623
CP011966.3_132,167044,168144,COG4956
CP011966.3_133,168166,168846,COG1211
CP011966.3_134,169241,170953,COG0442
CP011966.3_135,170971,172371,COG0215
CP011966.3_136,172421,172834,COG1939
CP011966.3_137,172865,173767,COG0566
CP011966.3_138,173781,174293,COG3688
CP011966.3_139,174353,175000,COG1595
CP011966.3_140,175218,176411,COG0050
CP011966.3_141,176589,176738,COG0267
CP011966.3_142,176787,177017,COG0690
CP011966.3_143,177055,177576,COG0250
CP011966.3_144,177655,178080,COG0080
CP011966.3_145,178135,178824,COG0081
CP011966.3_146,179029,179532,COG0244
CP011966.3_147,179583,179948,COG0222
CP011966.3_148,180279,183989,COG0085
CP011966.3_149,184011,187547,COG0086
CP011966.3_150,187804,188181,COG0048
CP011966.3_151,188331,188801,COG0049
CP011966.3_152,188885,190951,COG0480
CP011966.3_153,191139,192332,COG0050
CP011966.3_154,192789,193097,COG0051
CP011966.3_155,193171,193800,COG0087
CP011966.3_156,193827,194447,COG0088
CP011966.3_157,194447,194743,COG0089
CP011966.3_158,194808,195641,COG0090
CP011966.3_159,195707,195979,COG0185
CP011966.3_160,196000,196335,COG0091
CP011966.3_161,196360,197025,COG0092
CP011966.3_162,197043,197477,COG0197
CP011966.3_163,197477,197689,COG0255
CP011966.3_164,197713,197967,COG0186
CP011966.3_165,197996,198364,COG0093
CP011966.3_166,198380,198694,COG0198
CP011966.3_167,198717,199256,COG0094
CP011966.3_168,199273,199458,COG0199
CP011966.3_169,199491,199889,COG0096
CP011966.3_170,199958,200500,COG0097
CP011966.3_171,200519,200878,COG0256
