CP077803.1_1	269796.Rru_A0001	0.0	987.0	COG0593@1|root,COG0593@2|Bacteria,1MU5H@1224|Proteobacteria,2TT03@28211|Alphaproteobacteria,2JPHV@204441|Rhodospirillales	204441|Rhodospirillales	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	-	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N
CP077803.1_2	269796.Rru_A0002	1.14e-256	705.0	COG0592@1|root,COG0592@2|Bacteria,1MVD9@1224|Proteobacteria,2TSRZ@28211|Alphaproteobacteria,2JQAW@204441|Rhodospirillales	204441|Rhodospirillales	L	Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria	dnaN	-	2.7.7.7	ko:K02338	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3
CP077803.1_3	269796.Rru_A0003	1.57e-260	715.0	COG1195@1|root,COG1195@2|Bacteria,1MX8N@1224|Proteobacteria,2TQRD@28211|Alphaproteobacteria,2JP8E@204441|Rhodospirillales	204441|Rhodospirillales	L	it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP	recF	-	-	ko:K03629	ko03440,map03440	-	-	-	ko00000,ko00001,ko03400	-	-	-	AAA_21,AAA_23,SMC_N
CP077803.1_4	269796.Rru_A0004	0.0	1581.0	COG0187@1|root,COG0187@2|Bacteria,1MVKT@1224|Proteobacteria,2TRBK@28211|Alphaproteobacteria,2JQ5A@204441|Rhodospirillales	204441|Rhodospirillales	L	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner	gyrB	-	5.99.1.3	ko:K02470	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim
CP077803.1_5	269796.Rru_A0005	5.12e-80	237.0	COG3549@1|root,COG3549@2|Bacteria,1NABH@1224|Proteobacteria,2UXTF@28211|Alphaproteobacteria	28211|Alphaproteobacteria	S	Plasmid maintenance system killer	-	-	-	-	-	-	-	-	-	-	-	-	-
CP077803.1_6	269796.Rru_A0006	1.33e-275	753.0	COG2856@1|root,COG3093@1|root,COG2856@2|Bacteria,COG3093@2|Bacteria,1QYI0@1224|Proteobacteria,2U3Z9@28211|Alphaproteobacteria	28211|Alphaproteobacteria	E	Pfam:DUF955	-	-	-	ko:K18831	-	-	-	-	ko00000,ko02048,ko03000	-	-	-	HTH_3,Peptidase_M78
CP077803.1_9	269796.Rru_A0009	4.68e-102	296.0	COG1762@1|root,COG1762@2|Bacteria,1RD0E@1224|Proteobacteria,2U7B0@28211|Alphaproteobacteria,2JS6Q@204441|Rhodospirillales	204441|Rhodospirillales	GT	COG1762 Phosphotransferase system mannitol fructose-specific IIA domain (Ntr-type)	ptsN	-	-	ko:K02806	ko02060,map02060	-	-	-	ko00000,ko00001,ko01000,ko02000	-	-	-	PTS_EIIA_2
CP077803.1_10	269796.Rru_A0010	0.0	954.0	COG1508@1|root,COG1508@2|Bacteria,1MW4V@1224|Proteobacteria,2TS41@28211|Alphaproteobacteria,2JPA9@204441|Rhodospirillales	204441|Rhodospirillales	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released	rpoN	-	-	ko:K03092	ko02020,ko05111,map02020,map05111	-	-	-	ko00000,ko00001,ko03021	-	-	-	Sigma54_AID,Sigma54_CBD,Sigma54_DBD
CP077803.1_11	269796.Rru_A0011	1.29e-197	548.0	COG1137@1|root,COG1137@2|Bacteria,1MU8M@1224|Proteobacteria,2TR7F@28211|Alphaproteobacteria,2JPX9@204441|Rhodospirillales	204441|Rhodospirillales	S	ABC transporter, ATP-binding protein	lptB	-	-	ko:K06861	ko02010,map02010	M00320	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	1.B.42.1	-	-	ABC_tran,BCA_ABC_TP_C
CP077803.1_12	269796.Rru_A0012	2.71e-212	588.0	COG1934@1|root,COG1934@2|Bacteria,1PVX7@1224|Proteobacteria,2U7C5@28211|Alphaproteobacteria,2JS7U@204441|Rhodospirillales	204441|Rhodospirillales	M	OstA-like protein	-	-	-	ko:K09774	-	-	-	-	ko00000,ko02000	1.B.42.1	-	-	OstA
