id,start,end,OG
BPBEBBDK_00001,501,2030,COG0593
BPBEBBDK_00002,2265,3383,COG0592
BPBEBBDK_00003,3443,4570,COG1195
BPBEBBDK_00004,4635,7043,COG0187
BPBEBBDK_00005,7457,7801,COG3549
BPBEBBDK_00006,7788,8930,COG3093
BPBEBBDK_00009,9946,10410,COG1762
BPBEBBDK_00010,10800,12302,COG1508
BPBEBBDK_00011,12320,13186,COG1137
BPBEBBDK_00012,13183,14154,ROG6358
BPBEBBDK_00013,14151,14975,COG5375
BPBEBBDK_00014,14972,16072,COG0794
BPBEBBDK_00015,16505,17125,COG0349
BPBEBBDK_00017,17629,18651,COG0702
BPBEBBDK_00018,18766,19614,COG1968
BPBEBBDK_00019,19968,21425,COG0493
BPBEBBDK_00020,21449,26023,COG0069
BPBEBBDK_00021,26122,26628,COG0386
BPBEBBDK_00022,26625,27161,COG1846
BPBEBBDK_00023,27371,28039,COG0625
BPBEBBDK_00025,28727,29872,COG0265
BPBEBBDK_00028,31899,32606,COG0744
BPBEBBDK_00029,33186,34025,COG1235
BPBEBBDK_00031,34379,34924,ROG8114
BPBEBBDK_00032,35094,35993,COG0583
BPBEBBDK_00033,36060,37544,COG4235
BPBEBBDK_00034,37541,38053,COG3088
BPBEBBDK_00035,38050,38637,COG0526
BPBEBBDK_00036,38663,40678,COG1138
BPBEBBDK_00037,40764,41225,COG2332
BPBEBBDK_00038,41346,41495,COG3114
BPBEBBDK_00039,41530,42249,COG0755
BPBEBBDK_00040,42415,43083,COG2386
BPBEBBDK_00041,43080,43781,COG4133
BPBEBBDK_00042,44111,44566,ROG7909
BPBEBBDK_00044,45615,46784,COG1044
BPBEBBDK_00045,46821,47072,COG0236
BPBEBBDK_00046,47219,48433,COG0304
BPBEBBDK_00047,48447,48956,COG1683
BPBEBBDK_00048,49043,50650,COG0488
BPBEBBDK_00049,50793,51419,COG1280
BPBEBBDK_00050,51498,51902,COG4770
BPBEBBDK_00051,51899,52306,ROG2666
BPBEBBDK_00052,52319,53872,COG4799
BPBEBBDK_00053,54178,56166,COG4770
BPBEBBDK_00054,56220,57752,COG4799
BPBEBBDK_00055,58390,60327,COG1154
BPBEBBDK_00056,60412,61332,COG2853
BPBEBBDK_00057,61700,62338,COG2854
BPBEBBDK_00058,62504,65173,COG1033
BPBEBBDK_00059,65227,66228,COG0702
BPBEBBDK_00060,66671,67645,COG0761
BPBEBBDK_00061,67914,69077,COG0535
BPBEBBDK_00062,69063,69791,ROG2351
BPBEBBDK_00063,69833,71803,COG1657
BPBEBBDK_00064,71906,73204,COG3349
BPBEBBDK_00065,73213,75276,COG1562
BPBEBBDK_00066,75273,76166,COG1562
BPBEBBDK_00067,76346,78667,COG0642
BPBEBBDK_00068,78670,79107,COG1833
BPBEBBDK_00069,79091,80218,COG2267
BPBEBBDK_00070,80215,81225,COG1131
BPBEBBDK_00071,81389,81592,COG4391
BPBEBBDK_00072,81589,82515,COG0697
BPBEBBDK_00074,83277,85157,COG0326
BPBEBBDK_00076,85570,85950,ROG0448
BPBEBBDK_00077,86067,89267,COG4581
BPBEBBDK_00078,89264,89698,COG1188
BPBEBBDK_00079,89854,90309,COG4103
BPBEBBDK_00080,90487,90825,COG1146
BPBEBBDK_00081,91483,91980,COG1329
BPBEBBDK_00082,92065,93153,COG0840
BPBEBBDK_00083,93437,94525,COG0840
BPBEBBDK_00084,95314,96393,COG0840
BPBEBBDK_00085,96577,97401,COG1525
BPBEBBDK_00086,97502,98458,COG0596
BPBEBBDK_00087,98547,99908,COG3706
BPBEBBDK_00088,99908,100360,COG1671
BPBEBBDK_00089,100362,101603,COG2081
BPBEBBDK_00090,101782,102804,COG0604
BPBEBBDK_00091,102925,104814,COG0514
BPBEBBDK_00092,105090,105332,ROG0145
BPBEBBDK_00093,105336,105770,COG1487
BPBEBBDK_00094,106146,107423,COG1653
BPBEBBDK_00095,107469,108338,COG1175
BPBEBBDK_00096,108335,109273,COG0395
BPBEBBDK_00097,109280,110398,COG3839
BPBEBBDK_00098,110409,111374,COG0845
BPBEBBDK_00099,111531,111953,COG1186
BPBEBBDK_00100,112010,113221,COG0626
BPBEBBDK_00101,113302,115311,COG2208
BPBEBBDK_00102,115308,115652,COG5439
BPBEBBDK_00103,115711,116283,COG5381
BPBEBBDK_00104,116344,117147,COG3706
BPBEBBDK_00105,117345,117560,COG2900
BPBEBBDK_00107,117974,123295,COG2373
BPBEBBDK_00108,123304,125424,COG4953
BPBEBBDK_00109,125519,126316,COG0457
