id,start,end,OG
CP043998.1_1,499,1848,COG0593
CP043998.1_2,2110,3210,COG0592
CP043998.1_3,3241,3453,COG2501
CP043998.1_4,3502,4605,COG1195
CP043998.1_5,4605,4865,2E36Q
CP043998.1_6,4920,6827,COG0187
CP043998.1_7,6851,9331,COG0188
CP043998.1_8,15097,15612,COG2206
CP043998.1_9,15627,16148,COG1827
CP043998.1_10,16151,17536,COG0579
CP043998.1_11,17553,17780,COG3862
CP043998.1_12,18679,19194,COG1670
CP043998.1_13,19191,22670,COG3857
CP043998.1_14,22763,26500,COG1074
CP043998.1_15,26571,27752,COG1376
CP043998.1_16,27968,28450,COG5521
CP043998.1_17,28665,29570,COG0642
CP043998.1_18,29867,30757,COG0688
CP043998.1_19,31139,31723,COG1309
CP043998.1_20,31885,32673,COG0561
CP043998.1_21,32821,34416,COG0488
CP043998.1_22,34649,35242,COG0789
CP043998.1_23,35464,36111,COG1272
CP043998.1_24,36341,37144,COG0263
CP043998.1_25,37170,38414,COG0014
CP043998.1_26,38689,39048,COG1803
CP043998.1_27,39342,40121,COG0300
CP043998.1_28,40776,41825,COG0505
CP043998.1_29,41840,45049,COG0458
CP043998.1_30,45244,45477,2BH4T
CP043998.1_31,45599,46708,COG2206
CP043998.1_32,47192,47971,COG0796
CP043998.1_33,48077,48601,COG0652
CP043998.1_34,48654,49025,2EMT9
CP043998.1_35,49027,49695,COG1813
CP043998.1_36,49848,53033,COG1404
CP043998.1_37,53166,54134,COG1313
CP043998.1_38,54192,55268,COG3949
CP043998.1_39,55387,56316,COG1242
CP043998.1_40,56357,57073,COG2045
CP043998.1_41,57175,57393,COG1251
CP043998.1_42,58301,58603,COG1198
CP043998.1_44,59207,62320,COG0060
CP043998.1_45,62582,63580,COG1609
CP043998.1_46,63819,64262,COG1846
CP043998.1_47,64255,65628,COG0534
CP043998.1_48,65684,65869,2936M
CP043998.1_49,65982,66557,COG2715
CP043998.1_50,66611,67132,COG0700
CP043998.1_51,67249,68493,COG0006
CP043998.1_52,68601,70376,COG0006
CP043998.1_53,71049,72986,COG0143
CP043998.1_54,73346,74131,COG0084
CP043998.1_55,74427,75479,COG3583
CP043998.1_56,75642,76199,COG1658
CP043998.1_57,76200,77045,COG0030
CP043998.1_58,77215,79233,COG3064
CP043998.1_59,79245,79817,2EB32
CP043998.1_60,80037,80807,COG0682
CP043998.1_61,80797,81633,29G8B
CP043998.1_62,81652,82491,COG0489
CP043998.1_63,82621,82812,COG1141
CP043998.1_64,83043,83720,COG3859
CP043998.1_65,83911,84117,2A7TU
CP043998.1_66,84280,85128,COG1307
CP043998.1_67,85589,87697,COG1328
CP043998.1_68,88273,89442,COG0119
CP043998.1_69,89458,91380,COG1048
CP043998.1_70,91586,92095,COG0602
CP043998.1_71,92261,92872,COG2094
CP043998.1_73,93253,94218,COG0463
CP043998.1_74,94294,95379,COG2206
CP043998.1_75,95761,96843,COG1932
CP043998.1_76,97345,98739,COG0017
CP043998.1_77,99072,99770,COG0639
CP043998.1_78,99807,101186,COG0773
CP043998.1_79,101474,102289,COG0503
CP043998.1_80,102620,102895,COG2088
CP043998.1_81,103091,104458,COG1207
CP043998.1_82,104506,105471,COG0462
CP043998.1_83,105790,106476,COG0745
CP043998.1_84,106477,107898,COG5002
CP043998.1_85,107921,108496,COG0193
CP043998.1_86,108511,112011,COG1197
CP043998.1_87,112213,113334,COG0760
CP043998.1_88,113590,114138,COG2002
CP043998.1_89,114234,115769,COG2244
CP043998.1_90,115787,117238,COG1694
CP043998.1_91,117459,117734,COG0776
CP043998.1_92,117805,118065,COG1188
CP043998.1_93,118269,118562,2E3ZZ
CP043998.1_94,118572,118964,2EFTM
CP043998.1_95,119042,119329,COG2919
CP043998.1_96,119479,119889,COG1098
CP043998.1_97,121836,124232,COG2208
CP043998.1_98,124499,125905,COG0037
CP043998.1_99,125908,126447,COG0634
CP043998.1_100,126522,128330,COG0465
CP043998.1_101,128534,130204,COG2759
CP043998.1_102,130396,131196,COG1521
CP043998.1_103,131246,132211,COG0042
CP043998.1_104,132692,133174,COG0782
CP043998.1_105,133189,134694,COG1190
CP043998.1_107,136407,137798,COG0423
CP043998.1_108,137947,139323,COG0771
CP043998.1_109,139386,140408,COG1520
CP043998.1_111,146806,148203,COG0477
CP043998.1_112,148243,149190,COG0598
CP043998.1_113,149468,150628,COG1473
CP043998.1_114,151035,151217,2BAPE
CP043998.1_115,151267,151908,COG0125
CP043998.1_116,151982,152314,COG3870
CP043998.1_117,152334,153266,COG0470
CP043998.1_118,153270,154175,COG1774
CP043998.1_119,154187,154390,COG2608
CP043998.1_120,154513,154683,COG2768
CP043998.1_121,154749,155399,COG2220
CP043998.1_122,155569,156024,COG4463
CP043998.1_123,156039,156617,COG3880
CP043998.1_124,156610,157623,COG3869
CP043998.1_125,157649,160123,COG0542
CP043998.1_126,160254,161189,COG0492
CP043998.1_127,161265,161492,COG0695
CP043998.1_128,161978,163354,COG1066
CP043998.1_129,163581,164657,COG1623
CP043998.1_130,164900,166000,COG4956
CP043998.1_131,166022,166702,COG1211
CP043998.1_132,167097,168809,COG0442
CP043998.1_133,168827,170227,COG0215
CP043998.1_134,170277,170690,COG1939
CP043998.1_135,170721,171623,COG0566
CP043998.1_136,171637,172149,COG3688
CP043998.1_137,172209,172856,COG1595
CP043998.1_138,173074,174267,COG0050
CP043998.1_139,174445,174594,COG0267
CP043998.1_140,174643,174873,COG0690
CP043998.1_141,174911,175432,COG0250
CP043998.1_142,175511,175936,COG0080
CP043998.1_143,175991,176680,COG0081
CP043998.1_144,176885,177388,COG0244
CP043998.1_145,177439,177804,COG0222
CP043998.1_146,178135,181845,COG0085
CP043998.1_147,181867,185403,COG0086
CP043998.1_148,185660,186037,COG0048
CP043998.1_149,186187,186657,COG0049
CP043998.1_150,186741,188807,COG0480
CP043998.1_151,188995,190188,COG0050
CP043998.1_152,190645,190953,COG0051
CP043998.1_153,191027,191656,COG0087
CP043998.1_154,191683,192303,COG0088
CP043998.1_155,192303,192599,COG0089
CP043998.1_156,192664,193497,COG0090
CP043998.1_157,193563,193835,COG0185
CP043998.1_158,193856,194191,COG0091
CP043998.1_159,194216,194881,COG0092
CP043998.1_160,194899,195333,COG0197
CP043998.1_161,195333,195545,COG0255
CP043998.1_162,195569,195823,COG0186
CP043998.1_163,195852,196220,COG0093
