id,start,end,OG
FGBPHIDH_00001,125,1579,COG0593
FGBPHIDH_00002,1586,2692,COG0592
FGBPHIDH_00003,2692,5283,COG0187
FGBPHIDH_00004,5366,6925,ROG3457
FGBPHIDH_00005,7137,8120,COG0320
FGBPHIDH_00006,8153,8824,COG0321
FGBPHIDH_00007,8821,9090,COG2921
FGBPHIDH_00008,9244,9810,ROG2192
FGBPHIDH_00009,9845,10723,COG0356
FGBPHIDH_00010,10770,11015,COG0636
FGBPHIDH_00011,11132,11602,COG0711
FGBPHIDH_00012,11636,12166,COG0712
FGBPHIDH_00013,12214,13770,COG0056
FGBPHIDH_00014,13800,14669,COG0224
FGBPHIDH_00015,14718,16127,COG0055
FGBPHIDH_00016,16254,16670,COG0355
FGBPHIDH_00017,16700,17821,COG0429
FGBPHIDH_00018,17856,18428,ROG0860
FGBPHIDH_00019,18362,18838,COG0757
FGBPHIDH_00020,18851,19357,COG3245
FGBPHIDH_00023,20243,21376,COG1409
FGBPHIDH_00024,21373,24090,ROG0421
FGBPHIDH_00025,24099,26843,COG1353
FGBPHIDH_00026,26855,27334,COG1421
FGBPHIDH_00027,27346,28074,COG1337
FGBPHIDH_00028,28071,29006,ROG6626
FGBPHIDH_00029,29003,30598,COG1332
FGBPHIDH_00030,30595,31569,ROG2068
FGBPHIDH_00031,33254,33556,COG1343
FGBPHIDH_00032,33569,34534,COG1518
FGBPHIDH_00033,34534,34887,COG1343
FGBPHIDH_00035,35221,36393,ROG3169
FGBPHIDH_00037,37519,39726,COG1816
FGBPHIDH_00038,39889,41385,COG3039
FGBPHIDH_00039,41479,41922,ROG0388
FGBPHIDH_00040,43595,44059,COG3293
FGBPHIDH_00041,44423,45247,COG2801
FGBPHIDH_00042,45370,46095,ROG5276
FGBPHIDH_00043,46125,46562,COG4978
FGBPHIDH_00044,46559,47017,COG0454
FGBPHIDH_00045,47028,47843,COG2207
FGBPHIDH_00046,47913,48302,ROG5492
FGBPHIDH_00047,48354,48740,COG1961
FGBPHIDH_00049,48930,49301,ROG1931
FGBPHIDH_00050,49441,49890,ROG4855
FGBPHIDH_00051,49985,50317,COG0640
FGBPHIDH_00052,50349,50954,COG3324
FGBPHIDH_00053,50976,51479,COG0394
FGBPHIDH_00054,51476,52543,COG0798
FGBPHIDH_00055,52574,53101,COG3658
FGBPHIDH_00056,53120,53386,COG5591
FGBPHIDH_00057,53563,53913,COG3212
FGBPHIDH_00058,53910,54581,COG0745
FGBPHIDH_00059,54578,55954,COG2205
FGBPHIDH_00060,56240,56866,COG0625
FGBPHIDH_00061,56984,58453,COG0015
FGBPHIDH_00062,58450,58878,COG3313
FGBPHIDH_00063,58978,60627,COG4783
FGBPHIDH_00064,60708,61205,COG0315
FGBPHIDH_00065,61207,62058,COG1250
FGBPHIDH_00066,62251,62796,ROG0790
FGBPHIDH_00067,62993,65653,COG1042
FGBPHIDH_00068,65640,66305,COG2928
FGBPHIDH_00069,66335,67270,COG0313
FGBPHIDH_00070,67272,67700,COG0792
FGBPHIDH_00071,67719,68333,COG0279
FGBPHIDH_00072,68330,69001,COG2823
FGBPHIDH_00073,69125,70039,COG2084
FGBPHIDH_00074,70072,71208,COG5008
FGBPHIDH_00075,71228,72271,COG2805
FGBPHIDH_00076,72368,73000,COG0325
FGBPHIDH_00077,73043,76651,COG4230
FGBPHIDH_00078,76888,77352,COG1522
FGBPHIDH_00079,77568,78635,COG2423
FGBPHIDH_00080,78806,79225,COG1522
FGBPHIDH_00081,79377,81224,COG0147
FGBPHIDH_00082,81446,81790,COG0251
FGBPHIDH_00083,81834,82817,COG2423
FGBPHIDH_00084,82814,84610,COG4251
FGBPHIDH_00085,84784,86283,COG0277
FGBPHIDH_00086,86649,87074,COG0071
FGBPHIDH_00087,87295,88167,COG0583
FGBPHIDH_00088,88336,89184,COG0788
FGBPHIDH_00089,89246,90175,COG1893
FGBPHIDH_00090,90307,91722,COG1207
FGBPHIDH_00091,91838,92374,COG1522
FGBPHIDH_00092,92520,94448,COG0449
FGBPHIDH_00093,94622,95287,COG1230
FGBPHIDH_00094,95382,95837,COG0789
FGBPHIDH_00095,95825,96226,COG1339
FGBPHIDH_00096,96408,97466,COG0803
FGBPHIDH_00097,97488,98564,COG0709
FGBPHIDH_00098,98608,99675,COG2603
FGBPHIDH_00099,99672,100154,ROG3214
FGBPHIDH_00100,100230,101042,COG0730
FGBPHIDH_00101,101079,101774,COG0007
FGBPHIDH_00102,101778,103073,COG2895
FGBPHIDH_00103,103076,104035,COG0175
FGBPHIDH_00104,104032,104835,COG0175
FGBPHIDH_00105,104828,105316,COG3749
FGBPHIDH_00106,105336,107069,COG0155
FGBPHIDH_00107,107253,108026,COG0584
FGBPHIDH_00108,108232,109248,COG3839
FGBPHIDH_00109,109273,110127,COG0395
FGBPHIDH_00110,110142,111023,COG1175
FGBPHIDH_00111,111127,112446,COG1653
FGBPHIDH_00112,112557,114197,COG0578
FGBPHIDH_00113,114400,115200,COG1349
FGBPHIDH_00114,115254,115721,COG2138
FGBPHIDH_00115,115756,117168,COG0161
FGBPHIDH_00116,117253,117840,COG0500
FGBPHIDH_00117,117833,119035,COG2021
FGBPHIDH_00118,119613,119987,COG0724
FGBPHIDH_00119,120006,120683,COG3117
FGBPHIDH_00120,120680,121228,COG1778
FGBPHIDH_00121,121228,122229,COG0794
FGBPHIDH_00122,122361,124358,COG0475
FGBPHIDH_00123,124368,124913,COG0503
FGBPHIDH_00124,125077,125568,COG0835
FGBPHIDH_00125,125609,126961,COG0840
FGBPHIDH_00126,127019,128902,COG0840
FGBPHIDH_00127,128932,131040,COG2200
FGBPHIDH_00128,131158,132663,COG0624
FGBPHIDH_00130,134435,135730,ROG0062
FGBPHIDH_00131,135723,136736,COG0189
FGBPHIDH_00132,136733,137095,ROG0518
FGBPHIDH_00133,137158,137523,COG2076
FGBPHIDH_00134,137652,138743,COG3437
FGBPHIDH_00135,138727,142122,COG0642
FGBPHIDH_00136,142463,143977,ROG2472
FGBPHIDH_00138,144940,145182,COG1716
FGBPHIDH_00139,145299,145658,COG1716
FGBPHIDH_00140,145624,146397,COG0631
FGBPHIDH_00141,146513,147406,COG0074
FGBPHIDH_00142,147436,148602,COG0045
FGBPHIDH_00143,148823,149743,COG0002
FGBPHIDH_00144,149857,150102,ROG6594
FGBPHIDH_00145,150099,150494,COG4113
FGBPHIDH_00146,150539,151495,COG0491
FGBPHIDH_00147,151507,153201,COG0318
FGBPHIDH_00148,153472,154131,COG0454
FGBPHIDH_00149,154080,155111,COG4535
FGBPHIDH_00150,155108,156757,COG0815
FGBPHIDH_00151,156800,157726,COG0752
FGBPHIDH_00152,157723,159909,COG0751
FGBPHIDH_00153,159919,160509,COG0241
FGBPHIDH_00154,160506,161294,COG0204
FGBPHIDH_00155,161275,161889,COG1451
FGBPHIDH_00156,161924,162874,COG1575
FGBPHIDH_00157,163047,163469,COG0789
FGBPHIDH_00159,163688,164869,COG1960
FGBPHIDH_00160,164869,165531,COG0288
FGBPHIDH_00161,165564,167453,COG4579
FGBPHIDH_00162,167450,168637,COG0183
FGBPHIDH_00163,168718,169845,COG1960
FGBPHIDH_00164,169990,170241,COG2161
FGBPHIDH_00165,170285,170581,COG2026
FGBPHIDH_00166,170639,172030,COG0569
FGBPHIDH_00167,172040,173512,COG0168
FGBPHIDH_00168,173522,174991,COG0168
FGBPHIDH_00169,175007,176224,COG2059
