id,start,end,OG
EGFAOCGG_00001,501,1862,COG0593
EGFAOCGG_00002,2069,3211,COG0592
EGFAOCGG_00004,3513,4625,COG1195
EGFAOCGG_00006,4897,6810,COG0187
EGFAOCGG_00007,6954,9464,COG0188
EGFAOCGG_00012,16207,17670,COG0516
EGFAOCGG_00019,26753,26962,COG1396
EGFAOCGG_00021,27739,28107,COG2315
EGFAOCGG_00032,36231,36989,COG0310
EGFAOCGG_00033,36996,37307,COG1930
EGFAOCGG_00034,37291,38082,COG0619
EGFAOCGG_00035,38088,38933,COG1122
EGFAOCGG_00036,38958,40574,COG1010
EGFAOCGG_00037,40595,41515,COG2138
EGFAOCGG_00038,41517,42317,COG2099
EGFAOCGG_00039,42295,42945,COG2082
EGFAOCGG_00040,42948,44054,COG1903
EGFAOCGG_00041,44033,45241,COG2241
EGFAOCGG_00042,45241,45948,COG2243
EGFAOCGG_00043,45945,46721,COG2875
EGFAOCGG_00044,46718,47863,COG2073
EGFAOCGG_00045,47881,49293,COG1797
EGFAOCGG_00046,49290,50765,COG0007
EGFAOCGG_00048,51371,51649,COG0776
EGFAOCGG_00049,51724,52386,COG1842
EGFAOCGG_00053,55840,56601,COG1024
EGFAOCGG_00054,56624,57484,COG1250
EGFAOCGG_00055,57486,58625,COG1960
EGFAOCGG_00057,59608,61161,COG0364
EGFAOCGG_00058,61167,61805,COG1878
EGFAOCGG_00059,61969,62439,COG0590
EGFAOCGG_00060,62515,63720,COG0842
EGFAOCGG_00065,67150,67998,COG1659
EGFAOCGG_00070,73658,73978,COG0718
EGFAOCGG_00071,74002,74598,COG0353
EGFAOCGG_00082,83181,84653,COG1982
EGFAOCGG_00083,84701,85342,COG0125
EGFAOCGG_00087,87715,88089,COG4467
EGFAOCGG_00089,88951,89841,COG0313
EGFAOCGG_00090,89882,90130,COG2002
EGFAOCGG_00095,95010,95561,COG1658
EGFAOCGG_00096,95558,96442,COG0030
EGFAOCGG_00098,97626,97898,COG4466
EGFAOCGG_00099,98373,99248,COG1947
EGFAOCGG_00100,99325,100152,COG0503
EGFAOCGG_00101,100174,100545,COG0251
EGFAOCGG_00102,100688,100978,COG2088
EGFAOCGG_00104,102624,103574,COG0462
EGFAOCGG_00105,103667,104320,COG1825
EGFAOCGG_00106,104387,104947,COG0193
EGFAOCGG_00109,108884,109963,COG0760
EGFAOCGG_00110,110233,110775,COG2002
EGFAOCGG_00112,110962,112593,COG2244
EGFAOCGG_00118,115955,118414,COG2208
EGFAOCGG_00120,120053,121444,COG0037
EGFAOCGG_00122,122148,124088,COG0465
EGFAOCGG_00123,124325,125272,COG0379
