id,start,end,OG
CP064338.1_1,100,1524,COG0593
CP064338.1_2,1782,2888,COG0592
CP064338.1_3,3011,5515,COG0187
CP064338.1_4,5671,6495,COG2801
CP064338.1_5,6519,6785,COG2963
CP064338.1_7,8692,9117,COG0494
CP064338.1_8,9123,10421,COG3202
CP064338.1_9,10426,11298,COG1028
CP064338.1_10,11596,12726,COG0436
CP064338.1_11,12740,13621,COG0596
CP064338.1_12,13618,14853,COG0624
CP064338.1_13,14970,15686,COG1802
CP064338.1_14,16022,16879,COG1028
CP064338.1_15,16903,17730,COG0600
CP064338.1_16,17777,18553,COG1116
CP064338.1_18,19714,20709,COG3491
CP064338.1_19,20721,21881,COG0028
CP064338.1_20,21902,23338,COG0402
CP064338.1_21,23386,24843,COG1012
CP064338.1_22,24861,25793,COG0551
CP064338.1_23,26301,26744,COG0518
CP064338.1_24,26972,28786,COG0210
CP064338.1_25,28898,30154,COG0025
CP064338.1_26,30665,32413,COG3410
CP064338.1_27,32417,32926,COG1917
CP064338.1_28,33586,33954,COG2044
CP064338.1_29,34025,34465,COG0251
CP064338.1_30,34562,35185,COG1573
CP064338.1_31,35696,36073,COG3293
CP064338.1_32,36338,37252,COG0583
CP064338.1_33,37353,39650,COG0620
CP064338.1_34,39909,40223,COG3039
CP064338.1_35,40324,41145,COG3676
CP064338.1_36,41086,42345,COG3328
CP064338.1_37,42482,43219,2DWKG
CP064338.1_38,43400,44158,COG1126
CP064338.1_39,44142,44795,COG0765
CP064338.1_40,44788,45459,COG0765
CP064338.1_41,45531,46325,COG0834
CP064338.1_42,46322,47032,COG1802
CP064338.1_43,47217,47552,COG1146
CP064338.1_44,47890,48429,COG3090
CP064338.1_45,48426,49724,COG1593
CP064338.1_46,49792,50823,COG1638
CP064338.1_47,50896,51903,COG3491
CP064338.1_48,51973,52815,COG0657
CP064338.1_49,52812,53552,COG1802
CP064338.1_50,53562,54287,COG1802
CP064338.1_51,54528,55550,COG3491
CP064338.1_52,55565,56668,COG2843
CP064338.1_54,57746,59251,COG1129
CP064338.1_55,59284,60354,COG1172
CP064338.1_56,60489,61502,COG3203
CP064338.1_57,61609,62793,COG1804
CP064338.1_58,62992,64170,COG0183
CP064338.1_59,64265,64816,28H95
CP064338.1_60,64813,65253,COG2105
CP064338.1_61,65403,66287,COG0583
CP064338.1_62,66367,67626,COG2755
CP064338.1_63,67623,68825,COG0477
CP064338.1_64,68833,69465,COG1278
CP064338.1_66,70005,71753,COG3243
CP064338.1_67,71947,72258,COG4575
CP064338.1_68,72335,73327,COG1064
CP064338.1_69,73353,74351,COG4977
CP064338.1_70,74386,75531,COG0693
CP064338.1_71,75552,75902,COG5507
CP064338.1_72,76123,77055,COG3203
CP064338.1_73,77413,77871,2CBAE
CP064338.1_74,77897,78391,2CBFC
CP064338.1_75,78420,78638,COG2900
CP064338.1_76,78672,80309,COG4581
CP064338.1_77,80439,80936,COG3001
CP064338.1_78,80993,81355,COG3001
CP064338.1_79,81422,82069,COG1280
CP064338.1_80,82290,84428,COG3979
CP064338.1_82,85001,85507,COG0517
CP064338.1_83,85960,86319,COG1506
CP064338.1_84,86268,87275,COG2378
CP064338.1_85,87380,88084,COG0625
CP064338.1_86,88152,88919,COG0842
CP064338.1_87,88916,89845,COG1131
CP064338.1_88,89984,90751,COG3464
CP064338.1_91,93306,93884,COG0625
CP064338.1_92,93903,94238,COG1694
CP064338.1_93,94353,95015,COG0400
CP064338.1_94,95032,96294,COG2733
CP064338.1_95,96614,97372,COG0850
CP064338.1_96,97403,98221,COG2894
CP064338.1_97,98226,98483,COG0851
CP064338.1_98,98679,98915,28WGJ
CP064338.1_100,99306,99677,COG0720
CP064338.1_101,99692,100324,COG0602
CP064338.1_102,100429,102435,COG0784
CP064338.1_103,102556,102939,COG1917
CP064338.1_104,102953,103414,COG0789
CP064338.1_105,103495,104040,COG0431
CP064338.1_106,104153,105067,COG2764
CP064338.1_108,105684,106046,COG2350
CP064338.1_109,106134,106382,2CC0C
CP064338.1_110,106557,107567,COG4221
CP064338.1_111,107580,108065,COG5592
CP064338.1_112,108145,108915,28M4Y
CP064338.1_113,108926,110143,COG1690
CP064338.1_114,110235,110819,COG0500
CP064338.1_115,110816,111925,COG2021
CP064338.1_116,112101,112850,COG3012
CP064338.1_117,112963,113583,COG0625
CP064338.1_118,113773,115149,COG0015
CP064338.1_119,115160,115894,COG2186
CP064338.1_120,115992,116822,COG0284
CP064338.1_121,116831,117565,COG1802
CP064338.1_122,117616,118998,COG1953
CP064338.1_123,119079,119813,COG4126
CP064338.1_124,119970,122288,COG1529
CP064338.1_125,122285,122791,COG2080
CP064338.1_126,122999,123982,COG3203
CP064338.1_127,124118,124876,COG0121
CP064338.1_128,124985,127174,COG2225
CP064338.1_129,127221,127997,COG0730
CP064338.1_130,127994,128719,COG1011
CP064338.1_131,128927,129856,COG0583
CP064338.1_132,129959,130414,COG3556
CP064338.1_134,131082,132563,COG0064
