id,start,end,OG
CP080764.1_1,501,1862,COG0593
CP080764.1_2,2069,3211,COG0592
CP080764.1_3,3229,3459,COG2501
CP080764.1_4,3513,4625,COG1195
CP080764.1_5,4641,4889,2E36Q
CP080764.1_6,4897,6810,COG0187
CP080764.1_7,6954,9464,COG0188
CP080764.1_8,11162,11422,2DREN
CP080764.1_9,14955,16013,28JUG
CP080764.1_10,16207,17670,COG0516
CP080764.1_11,17779,19104,COG1686
CP080764.1_12,19475,20761,COG0172
CP080764.1_13,20939,21736,COG1028
CP080764.1_14,23323,24828,COG0579
CP080764.1_16,26753,26962,COG1476
CP080764.1_17,27351,27731,2EFSB
CP080764.1_18,27739,28107,COG2315
CP080764.1_19,28561,29370,COG0760
CP080764.1_21,29911,30642,28KFQ
CP080764.1_24,31758,32042,COG4584
CP080764.1_27,34355,34555,COG3311
CP080764.1_28,35358,35561,COG3369
CP080764.1_29,36231,36989,COG0310
CP080764.1_30,36996,37307,COG1930
CP080764.1_31,37291,38082,COG0619
CP080764.1_32,38088,38933,COG1122
CP080764.1_33,38958,40574,COG0155
CP080764.1_34,40595,41515,COG2138
CP080764.1_35,41517,42317,COG2099
CP080764.1_36,42295,42945,COG2082
CP080764.1_37,42948,44054,COG1903
CP080764.1_38,44033,45241,COG2241
CP080764.1_39,45241,45948,COG2243
CP080764.1_40,45945,46721,COG2875
CP080764.1_41,46718,47863,COG2073
CP080764.1_42,47881,49293,COG1797
CP080764.1_43,49290,50765,COG0007
CP080764.1_44,50827,51048,2EIUE
CP080764.1_45,51371,51649,COG0776
CP080764.1_46,51724,52386,COG1842
CP080764.1_48,53144,53857,COG0515
CP080764.1_49,54264,55631,COG3829
CP080764.1_50,55840,56601,COG1024
CP080764.1_51,56624,57484,COG1250
CP080764.1_52,57486,58625,COG1960
CP080764.1_53,58635,59342,COG2267
CP080764.1_54,59608,61161,COG0364
CP080764.1_55,61167,61805,COG1878
CP080764.1_56,61969,62439,COG0590
CP080764.1_57,62515,63720,COG0842
CP080764.1_58,63723,65081,COG0845
CP080764.1_59,65115,65705,COG1309
CP080764.1_60,66622,67104,2EDG5
CP080764.1_61,67150,67998,COG1659
CP080764.1_62,68024,68650,2BYW7
CP080764.1_64,70344,71780,COG4191
CP080764.1_65,71934,73646,COG2812
CP080764.1_66,73658,73978,COG0718
CP080764.1_67,74002,74598,COG0353
CP080764.1_69,74765,75715,COG1266
CP080764.1_70,75779,76045,2E9CH
CP080764.1_71,77566,77826,2DREN
CP080764.1_72,81463,82020,2C7XX
CP080764.1_74,82930,83115,2EIS2
CP080764.1_75,83181,84653,COG1982
CP080764.1_76,84701,85342,COG0125
CP080764.1_77,85422,85865,COG1728
CP080764.1_78,85899,86876,COG0470
CP080764.1_79,86881,87693,COG1774
CP080764.1_80,87715,88089,COG4467
CP080764.1_81,88190,88948,COG4123
CP080764.1_82,88951,89841,COG0313
CP080764.1_83,89882,90130,COG2002
CP080764.1_85,90793,92895,COG0073
CP080764.1_86,92925,93698,COG0084
CP080764.1_87,93877,94941,COG3583
CP080764.1_88,95010,95561,COG1658
CP080764.1_89,95558,96442,COG0030
CP080764.1_90,96497,97369,28HCB
CP080764.1_91,97626,97898,COG4466
CP080764.1_92,98373,99248,COG1947
CP080764.1_93,99325,100152,COG0503
CP080764.1_94,100174,100545,COG0251
CP080764.1_95,100688,100978,COG2088
CP080764.1_96,101228,102592,COG1207
CP080764.1_97,102624,103574,COG0462
CP080764.1_98,103667,104320,COG1825
CP080764.1_99,104387,104947,COG0193
CP080764.1_100,105031,105252,2EJ4H
CP080764.1_101,105340,108897,COG1197
CP080764.1_102,108884,109963,COG0760
CP080764.1_103,110233,110775,COG2002
CP080764.1_105,110962,112593,COG2244
CP080764.1_106,112616,114088,COG1694
CP080764.1_107,114089,114382,COG1188
CP080764.1_108,114534,114824,2E3ZZ
CP080764.1_109,114821,115399,2BYDV
CP080764.1_110,115427,115750,COG2919
CP080764.1_111,115955,118414,COG2208
CP080764.1_112,118627,119277,COG3039
CP080764.1_113,120053,121444,COG0037
CP080764.1_114,121538,122074,COG0634
CP080764.1_115,122148,124088,COG0465
CP080764.1_116,124325,125272,COG0379
CP080764.1_117,125306,126931,COG0029
CP080764.1_118,126918,127772,COG0157
CP080764.1_119,127784,128551,COG1521
CP080764.1_120,128668,129543,COG1281
CP080764.1_121,129630,130562,COG0031
CP080764.1_122,130647,132161,COG0147
CP080764.1_123,132158,132781,COG0512
CP080764.1_124,132765,133610,COG0115
CP080764.1_125,133673,134518,COG0294
CP080764.1_126,134525,134899,COG1539
CP080764.1_127,134892,135428,COG0801
CP080764.1_128,135525,136595,COG0042
CP080764.1_129,136777,137256,COG0782
CP080764.1_130,137353,138900,COG1190
CP080764.1_131,140531,140791,2DREN
CP080764.1_132,144452,145321,COG1737
