id,start,end,OG
CP077803.1_1,501,2030,COG0593
CP077803.1_2,2265,3383,COG0592
CP077803.1_3,3443,4570,COG1195
CP077803.1_4,4635,7043,COG0187
CP077803.1_5,7457,7801,COG3549
CP077803.1_6,7788,8930,COG2856
CP077803.1_9,9946,10410,COG1762
CP077803.1_10,10800,12302,COG1508
CP077803.1_11,12320,13186,COG1137
CP077803.1_12,13183,14154,COG1934
CP077803.1_13,14151,14975,COG5375
CP077803.1_14,14972,16072,COG0517
CP077803.1_15,16505,17125,COG0349
CP077803.1_16,17629,18651,COG0702
CP077803.1_17,18766,19614,COG1968
CP077803.1_18,19968,21425,COG0493
CP077803.1_19,21449,26023,COG0067
CP077803.1_20,26122,26628,COG0386
CP077803.1_21,26625,27161,COG1846
CP077803.1_22,27371,28039,COG0625
CP077803.1_23,28210,28602,2CFZZ
CP077803.1_24,28727,29872,COG0265
CP077803.1_25,29995,30534,2BZQX
CP077803.1_26,30549,31892,2EZ14
CP077803.1_27,31899,32606,COG0744
CP077803.1_28,33186,34025,COG0491
CP077803.1_29,34046,34372,2APWP
CP077803.1_30,34379,34924,28M6M
CP077803.1_31,35094,35993,COG0583
CP077803.1_32,36060,37544,COG4235
CP077803.1_33,37541,38053,COG3088
CP077803.1_34,38050,38637,COG0526
CP077803.1_35,38663,40678,COG1138
CP077803.1_36,40764,41225,COG2332
CP077803.1_38,41530,42249,COG0755
CP077803.1_39,42415,43083,COG2386
CP077803.1_40,43080,43781,COG4133
CP077803.1_41,44111,44566,COG3909
CP077803.1_43,45615,46784,COG1044
CP077803.1_44,46821,47072,COG0236
CP077803.1_45,47219,48433,COG0304
CP077803.1_46,48447,48956,COG1683
CP077803.1_47,49043,50650,COG0488
CP077803.1_48,50793,51419,COG1280
CP077803.1_49,51498,51902,COG4770
CP077803.1_50,51899,52306,2EN11
CP077803.1_51,52319,53872,COG4799
CP077803.1_52,54178,56166,COG4770
CP077803.1_53,56220,57752,COG4799
CP077803.1_54,58390,60327,COG1154
CP077803.1_55,60412,61332,COG2853
CP077803.1_56,61700,62338,COG2854
CP077803.1_57,62504,65173,COG4258
CP077803.1_58,65227,66228,COG0451
CP077803.1_59,66671,67645,COG0761
CP077803.1_60,67914,69077,COG0535
CP077803.1_61,69063,69791,COG0775
CP077803.1_62,69833,71803,COG1657
CP077803.1_63,71906,73204,COG1232
CP077803.1_64,73213,75276,COG1215
CP077803.1_65,75273,76166,COG1562
CP077803.1_66,76346,78667,COG0642
CP077803.1_67,78670,79107,COG1833
CP077803.1_68,79091,80218,COG2267
CP077803.1_69,80215,81225,COG1131
CP077803.1_70,81389,81592,COG4391
CP077803.1_71,81589,82515,COG0697
CP077803.1_73,83277,85157,COG0326
CP077803.1_75,85570,85950,COG1544
CP077803.1_76,86067,89267,COG4581
CP077803.1_77,89264,89698,COG1188
CP077803.1_78,89854,90309,COG4103
CP077803.1_79,90487,90825,COG1146
CP077803.1_80,91483,91980,COG1329
CP077803.1_81,92065,93153,COG0840
CP077803.1_82,93437,94525,COG0840
CP077803.1_83,95314,96393,COG0840
CP077803.1_84,96577,97401,COG1525
CP077803.1_85,97502,98458,COG2267
CP077803.1_86,98547,99908,COG2199
CP077803.1_87,99908,100360,COG1671
CP077803.1_88,100362,101603,COG2081
CP077803.1_89,101782,102804,COG0604
CP077803.1_90,102925,104814,COG0514
CP077803.1_91,105090,105332,COG2161
CP077803.1_92,105336,105770,COG1487
CP077803.1_93,106146,107423,COG1653
CP077803.1_94,107469,108338,COG1175
CP077803.1_95,108335,109273,COG0395
CP077803.1_96,109280,110398,COG3842
CP077803.1_97,110409,111374,COG1566
CP077803.1_98,111531,111953,COG0216
CP077803.1_99,112010,113221,COG0626
CP077803.1_100,113302,115311,COG2208
CP077803.1_101,115308,115652,COG5439
CP077803.1_102,115711,116283,COG5381
CP077803.1_103,116344,117147,COG2199
CP077803.1_104,117345,117560,COG2900
CP077803.1_105,117974,123295,COG2373
CP077803.1_106,123304,125424,COG4953
CP077803.1_107,125519,126316,COG0457
CP077803.1_108,126313,127224,COG3267
CP077803.1_111,128202,129626,COG1450
CP077803.1_112,129638,130387,2DNTZ
CP077803.1_113,130384,130974,2EMEM
CP077803.1_114,130971,131693,COG4967
CP077803.1_115,131779,133845,COG2804
CP077803.1_116,133845,135080,COG1459
CP077803.1_119,137599,138336,COG1131
CP077803.1_120,138327,139373,COG2805
CP077803.1_122,140297,141634,COG0840
CP077803.1_123,141642,142364,COG2165
CP077803.1_124,142382,142744,2AJZX
CP077803.1_125,142744,144234,COG0615
CP077803.1_126,144573,145880,COG2200
CP077803.1_127,145877,147226,COG2200
CP077803.1_128,147223,148038,COG1131
CP077803.1_129,148035,148883,COG0842
CP077803.1_130,148893,150092,COG3004
CP077803.1_132,151726,153201,COG0840
CP077803.1_133,153448,154461,COG0784
CP077803.1_134,154481,156067,COG2027
CP077803.1_135,156299,157333,COG0438
CP077803.1_136,157451,158938,COG1012
CP077803.1_137,158998,159573,COG2014
CP077803.1_138,159692,160618,COG0697
CP077803.1_139,160795,161859,COG2358
CP077803.1_140,161885,163276,COG0260
CP077803.1_141,163555,163908,COG1846
CP077803.1_142,164035,164751,COG2207
CP077803.1_143,164784,165767,COG0113
CP077803.1_144,166091,167053,COG1878
CP077803.1_145,167249,167797,COG0454
CP077803.1_146,167784,168887,COG1902
CP077803.1_147,169044,169652,COG1309
CP077803.1_148,169762,170301,COG0221
CP077803.1_149,170398,172050,COG2271
CP077803.1_150,172111,173952,COG1217
CP077803.1_151,173965,174960,COG0524
CP077803.1_152,175266,175949,COG2981
CP077803.1_153,176011,176754,COG1664
CP077803.1_154,176751,177167,2EHHR
CP077803.1_155,177247,177549,28V2W
CP077803.1_156,178141,178779,COG0177
CP077803.1_157,178860,179657,COG0289
CP077803.1_158,179855,180523,COG1309
CP077803.1_159,180705,181877,COG1566
CP077803.1_160,181896,183470,COG0477
