id,start,end,OG
BCHFIOMB_00001,100,1524,COG0593
BCHFIOMB_00002,1782,2888,COG0592
BCHFIOMB_00003,3011,5515,COG0187
BCHFIOMB_00004,5671,6495,COG2801
BCHFIOMB_00006,7518,7889,COG1396
BCHFIOMB_00009,10426,11298,COG1028
BCHFIOMB_00010,11596,12726,COG0436
BCHFIOMB_00011,12740,13621,COG0596
BCHFIOMB_00012,13618,14853,COG0624
BCHFIOMB_00013,14970,15686,COG1802
BCHFIOMB_00014,16022,16879,COG1028
BCHFIOMB_00016,17777,18553,COG1116
BCHFIOMB_00020,21902,23338,COG0402
BCHFIOMB_00021,23386,24843,COG1012
BCHFIOMB_00024,26972,28786,COG3972
BCHFIOMB_00025,28898,30154,COG0025
BCHFIOMB_00027,32417,32926,COG2207
BCHFIOMB_00029,34025,34465,COG0251
BCHFIOMB_00030,34562,35185,COG1573
BCHFIOMB_00032,36338,37252,COG0583
BCHFIOMB_00033,37353,39650,COG0620
BCHFIOMB_00036,41086,42345,COG3328
BCHFIOMB_00038,43400,44158,COG1126
BCHFIOMB_00039,44142,44795,COG0765
BCHFIOMB_00040,44788,45459,COG0765
BCHFIOMB_00041,45531,46325,COG0834
BCHFIOMB_00042,46322,47032,COG1802
BCHFIOMB_00043,47217,47552,COG1146
BCHFIOMB_00045,48426,49724,COG1593
BCHFIOMB_00046,49792,50823,COG1638
BCHFIOMB_00048,51973,52815,COG0657
BCHFIOMB_00049,52812,53552,COG1802
BCHFIOMB_00050,53562,54287,COG1802
BCHFIOMB_00053,56723,57709,COG1879
BCHFIOMB_00054,57746,59251,COG1129
BCHFIOMB_00055,59284,60354,COG1172
BCHFIOMB_00057,61609,62793,COG1804
BCHFIOMB_00058,62992,64170,COG0183
BCHFIOMB_00061,65403,66287,COG0583
BCHFIOMB_00062,66367,67626,COG2755
BCHFIOMB_00063,67623,68825,COG2814
BCHFIOMB_00064,68833,69465,COG3326
BCHFIOMB_00066,70005,71753,COG3243
BCHFIOMB_00068,72335,73327,COG1064
BCHFIOMB_00076,78672,80309,COG0513
BCHFIOMB_00079,81422,82069,COG1280
BCHFIOMB_00082,85001,85507,COG0517
