CP064338.1_1	1265502.KB905947_gene1051	8.05e-286	787.0	COG0593@1|root,COG0593@2|Bacteria,1MU5H@1224|Proteobacteria,2VHH0@28216|Betaproteobacteria,4AAHN@80864|Comamonadaceae	28216|Betaproteobacteria	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	-	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N
CP064338.1_2	1265502.KB905947_gene1050	1.42e-232	644.0	COG0592@1|root,COG0592@2|Bacteria,1MVD9@1224|Proteobacteria,2VH9B@28216|Betaproteobacteria,4AAUR@80864|Comamonadaceae	28216|Betaproteobacteria	L	Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria	dnaN	-	2.7.7.7	ko:K02338	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3
CP064338.1_3	1265502.KB905947_gene1049	0.0	1469.0	COG0187@1|root,COG0187@2|Bacteria,1MVKT@1224|Proteobacteria,2VI8N@28216|Betaproteobacteria,4AA3D@80864|Comamonadaceae	28216|Betaproteobacteria	L	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner	gyrB	-	5.99.1.3	ko:K02470	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim
CP064338.1_4	1211114.ALIP01000060_gene793	9.91e-181	503.0	COG2801@1|root,COG2801@2|Bacteria,1MVN5@1224|Proteobacteria,1RP6D@1236|Gammaproteobacteria,1X5T7@135614|Xanthomonadales	135614|Xanthomonadales	L	Integrase core domain	-	-	-	ko:K07497	-	-	-	-	ko00000	-	-	-	rve_3
CP064338.1_5	1211114.ALIP01000060_gene792	1.63e-55	173.0	COG2963@1|root,COG2963@2|Bacteria,1MZ3D@1224|Proteobacteria,1S9EI@1236|Gammaproteobacteria,1X74K@135614|Xanthomonadales	135614|Xanthomonadales	L	Transposase	-	-	-	ko:K07497	-	-	-	-	ko00000	-	-	-	HTH_Tnp_1
CP064338.1_7	1231391.AMZF01000023_gene3017	3.09e-39	136.0	COG0494@1|root,COG0494@2|Bacteria,1QTUJ@1224|Proteobacteria,2W561@28216|Betaproteobacteria	28216|Betaproteobacteria	L	NUDIX domain	-	-	-	-	-	-	-	-	-	-	-	-	NUDIX
CP064338.1_8	935863.AWZR01000005_gene2155	1.34e-207	586.0	COG3202@1|root,COG3202@2|Bacteria,1MVP5@1224|Proteobacteria,1RNY6@1236|Gammaproteobacteria,1X55G@135614|Xanthomonadales	135614|Xanthomonadales	C	Major Facilitator Superfamily	-	-	-	ko:K03301	-	-	-	-	ko00000	2.A.12	-	-	MFS_1
CP064338.1_9	977880.RALTA_B1523	1.89e-127	371.0	COG1028@1|root,COG1028@2|Bacteria,1PVWT@1224|Proteobacteria,2W0R4@28216|Betaproteobacteria,1K64Y@119060|Burkholderiaceae	28216|Betaproteobacteria	IQ	Enoyl-(Acyl carrier protein) reductase	-	-	-	-	-	-	-	-	-	-	-	-	adh_short
CP064338.1_10	1144342.PMI40_01146	2.57e-200	563.0	COG0436@1|root,COG0436@2|Bacteria,1PKK5@1224|Proteobacteria,2VZMQ@28216|Betaproteobacteria	28216|Betaproteobacteria	E	Aminotransferase class I and II	-	-	-	-	-	-	-	-	-	-	-	-	Aminotran_1_2
CP064338.1_11	1097668.BYI23_C005330	4.39e-164	464.0	COG0596@1|root,COG0596@2|Bacteria,1N3G3@1224|Proteobacteria,2WH3B@28216|Betaproteobacteria,1KIHJ@119060|Burkholderiaceae	28216|Betaproteobacteria	S	Serine aminopeptidase, S33	-	-	-	-	-	-	-	-	-	-	-	-	Abhydrolase_1
