id,start,end,OG
POEJPPFL_00001,499,1848,COG0593
POEJPPFL_00002,2110,3210,COG0592
POEJPPFL_00004,3502,4605,COG1195
POEJPPFL_00006,4920,6827,COG0187
POEJPPFL_00007,6851,9331,COG0188
POEJPPFL_00014,15627,16148,COG1827
POEJPPFL_00022,19191,22670,COG3857
POEJPPFL_00023,22763,26500,COG1074
POEJPPFL_00028,29867,30757,COG0688
POEJPPFL_00031,32821,34416,COG0488
POEJPPFL_00034,36341,37144,COG0263
POEJPPFL_00035,37170,38414,COG0014
POEJPPFL_00036,38689,39048,COG1803
POEJPPFL_00038,40776,41825,COG0505
POEJPPFL_00042,47192,47971,COG0796
POEJPPFL_00050,56357,57073,COG2045
POEJPPFL_00055,62582,63580,COG1609
POEJPPFL_00056,63819,64262,COG1846
POEJPPFL_00059,65982,66557,COG2715
POEJPPFL_00061,67249,68493,COG0006
POEJPPFL_00066,75642,76199,COG1658
POEJPPFL_00067,76200,77045,COG0030
POEJPPFL_00072,81652,82491,COG0489
POEJPPFL_00077,85589,87697,COG1328
POEJPPFL_00080,91586,92095,COG0602
POEJPPFL_00081,92261,92872,COG2094
POEJPPFL_00085,95761,96843,COG1932
POEJPPFL_00086,97345,98739,COG0017
POEJPPFL_00088,99807,101186,COG0773
POEJPPFL_00089,101474,102289,COG0503
POEJPPFL_00092,104506,105471,COG0462
POEJPPFL_00093,105790,106476,COG0745
POEJPPFL_00098,113590,114138,COG2002
POEJPPFL_00099,114234,115769,COG2244
POEJPPFL_00117,121836,124232,COG2208
POEJPPFL_00118,124499,125905,COG0037
POEJPPFL_00120,126522,128330,COG0465
POEJPPFL_00121,128534,130204,COG2759
POEJPPFL_00122,130396,131196,COG1521
POEJPPFL_00123,131246,132211,COG0042
POEJPPFL_00124,132692,133174,COG0782
POEJPPFL_00131,137947,139323,COG0771
POEJPPFL_00143,149468,150628,COG1473
POEJPPFL_00145,151267,151908,COG0125
POEJPPFL_00146,151982,152314,COG3870
POEJPPFL_00150,154513,154683,COG1145
POEJPPFL_00153,156039,156617,COG3880
POEJPPFL_00155,157649,160123,COG0542
POEJPPFL_00156,160254,161189,COG0492
POEJPPFL_00157,161265,161492,COG0695
POEJPPFL_00158,161978,163354,COG1066
POEJPPFL_00160,164900,166000,COG4956
POEJPPFL_00161,166022,166702,COG1211
POEJPPFL_00163,168827,170227,COG0215
POEJPPFL_00164,170277,170690,COG1939
POEJPPFL_00167,172209,172856,COG1595
POEJPPFL_00169,173074,174267,COG0050
POEJPPFL_00173,175511,175936,COG0080
POEJPPFL_00175,176885,177388,COG0244
POEJPPFL_00177,178135,181845,COG0085
POEJPPFL_00178,181867,185403,COG0086
POEJPPFL_00179,185660,186037,COG0048
POEJPPFL_00181,186741,188807,COG0480
POEJPPFL_00182,188995,190188,COG0050
POEJPPFL_00183,190645,190953,COG0051
POEJPPFL_00184,191027,191656,COG0087
POEJPPFL_00189,193856,194191,COG0091
POEJPPFL_00190,194216,194881,COG0092
POEJPPFL_00191,194899,195333,COG0197
POEJPPFL_00193,195569,195823,COG0186
POEJPPFL_00194,195852,196220,COG0093
POEJPPFL_00197,197129,197314,COG0199
POEJPPFL_00198,197347,197745,COG0096
POEJPPFL_00201,198755,199252,COG0098
POEJPPFL_00202,199265,199444,COG1841
POEJPPFL_00203,199466,199906,COG0200
POEJPPFL_00204,199908,201206,COG0201
POEJPPFL_00206,201882,202631,COG0024
POEJPPFL_00208,203008,203226,COG0361
POEJPPFL_00209,203281,203394,COG0257
POEJPPFL_00210,203604,203972,COG0099
POEJPPFL_00212,204414,205034,COG0522
POEJPPFL_00213,205137,206084,COG0202
POEJPPFL_00216,207508,208377,COG1122
POEJPPFL_00217,208386,209192,COG0619
POEJPPFL_00218,209209,209943,COG0101
POEJPPFL_00219,210104,210538,COG0102
POEJPPFL_00221,211474,212136,COG0860
POEJPPFL_00223,212715,213557,COG1951
POEJPPFL_00224,213762,214319,COG1838
POEJPPFL_00226,215187,215879,COG0745
POEJPPFL_00228,217403,219634,COG0209
POEJPPFL_00229,219888,220922,COG0208
POEJPPFL_00230,221153,222772,COG1080
POEJPPFL_00234,226442,227290,COG1624
POEJPPFL_00237,230529,231437,COG0280
POEJPPFL_00238,231582,232649,COG3426
POEJPPFL_00241,234115,234930,COG0801
POEJPPFL_00244,236529,237875,COG1109
POEJPPFL_00246,239067,239576,COG0440
POEJPPFL_00247,239642,241237,COG0119
POEJPPFL_00250,243149,244231,COG0473
POEJPPFL_00251,244301,245974,COG0028
POEJPPFL_00255,249170,250036,COG1175
POEJPPFL_00256,250036,250935,COG0395
POEJPPFL_00257,251089,252579,COG1640
POEJPPFL_00258,252966,253967,COG1609
POEJPPFL_00261,257294,258031,COG1136
POEJPPFL_00263,259910,261058,COG0626
POEJPPFL_00264,261092,262228,COG0626
POEJPPFL_00266,263248,264654,COG2213
POEJPPFL_00268,267244,267684,COG2213
POEJPPFL_00269,267686,268831,COG0246
POEJPPFL_00270,269498,271324,COG0449
POEJPPFL_00273,273479,274027,COG0655
POEJPPFL_00274,274242,275567,COG2807
POEJPPFL_00286,283307,285568,COG0058
POEJPPFL_00288,286710,288713,COG0840
POEJPPFL_00289,288866,289453,COG1592
POEJPPFL_00292,291010,291600,COG0212
POEJPPFL_00294,294396,296327,COG0441
POEJPPFL_00300,301311,301787,COG0245
POEJPPFL_00305,305579,306625,COG0502
POEJPPFL_00310,311114,313777,COG0474
POEJPPFL_00313,317335,318036,COG2186
POEJPPFL_00314,318560,319348,COG2086
POEJPPFL_00315,319404,320594,COG2025
POEJPPFL_00316,320598,322001,COG0277
POEJPPFL_00317,322339,322911,COG1595
POEJPPFL_00319,324123,326477,COG1882
POEJPPFL_00321,327626,328303,COG0176
POEJPPFL_00322,328419,329486,COG0662
POEJPPFL_00324,330966,331601,COG2344
POEJPPFL_00325,331979,332764,COG1024
POEJPPFL_00326,332849,333988,COG1960
POEJPPFL_00327,334002,334781,COG2086
POEJPPFL_00328,334804,335811,COG2025
POEJPPFL_00329,335954,336802,COG1250
POEJPPFL_00332,340524,340808,COG0234
POEJPPFL_00333,340900,342525,COG0459
POEJPPFL_00335,343683,345140,COG0516
POEJPPFL_00343,350611,351903,COG0305
POEJPPFL_00377,375770,377695,COG1762
POEJPPFL_00379,378178,378726,COG3730
POEJPPFL_00380,378744,379754,COG3732
POEJPPFL_00381,379871,380551,COG0176
POEJPPFL_00382,380616,380984,COG3731
POEJPPFL_00384,382295,383644,COG0166
POEJPPFL_00388,388011,388727,COG1187
POEJPPFL_00389,388944,389609,COG0778
POEJPPFL_00390,389744,390088,COG1733
POEJPPFL_00393,391124,392761,COG0840
POEJPPFL_00395,395319,397310,COG0272
POEJPPFL_00400,402416,403030,COG0127
POEJPPFL_00428,414148,416208,COG3590
POEJPPFL_00434,423018,424403,COG0312
POEJPPFL_00435,424406,425749,COG0312
POEJPPFL_00442,432224,433243,COG0533
POEJPPFL_00445,435949,436257,COG1447
POEJPPFL_00455,446728,446970,COG4466
POEJPPFL_00459,452925,453767,COG1947
POEJPPFL_00465,459098,460204,COG0707
POEJPPFL_00466,460418,460627,COG0254
POEJPPFL_00467,460817,461401,COG1435
POEJPPFL_00469,463323,464405,COG0216
POEJPPFL_00471,465114,466163,COG0009
POEJPPFL_00472,466214,466663,COG0698
POEJPPFL_00475,468459,469607,COG0381
POEJPPFL_00476,469729,470910,COG0183
POEJPPFL_00478,471997,472677,COG0356
POEJPPFL_00480,473000,473479,COG0711
POEJPPFL_00482,474032,475546,COG0056
POEJPPFL_00483,475588,476439,COG0224
POEJPPFL_00484,476454,477845,COG0055
POEJPPFL_00485,477861,478268,COG0355
POEJPPFL_00487,479295,480557,COG0766
POEJPPFL_00489,482657,483394,COG0739
POEJPPFL_00491,483836,484870,COG1077
POEJPPFL_00502,488873,491101,COG0507
POEJPPFL_00505,493181,493714,COG1544
POEJPPFL_00506,494059,496617,COG0653
POEJPPFL_00509,498548,499243,COG0745
POEJPPFL_00513,502351,504528,COG2183
POEJPPFL_00514,504786,505742,COG0673
POEJPPFL_00517,508308,509132,COG0789
POEJPPFL_00520,510099,510992,COG1940
POEJPPFL_00522,513996,514463,COG0350
POEJPPFL_00523,514698,515315,COG1349
POEJPPFL_00524,515447,516259,COG0561
POEJPPFL_00525,516503,517312,COG1414
POEJPPFL_00528,519512,520138,COG0800
POEJPPFL_00529,520443,520832,COG2703
POEJPPFL_00531,522664,522825,COG1773
POEJPPFL_00532,523022,523786,COG1349
POEJPPFL_00533,523939,524379,COG0456
POEJPPFL_00534,524379,525113,COG1214
POEJPPFL_00535,525110,525571,COG0802
POEJPPFL_00538,527745,529280,COG1129
POEJPPFL_00539,529277,530347,COG4603
POEJPPFL_00541,531364,532368,COG1744
POEJPPFL_00544,534264,536267,COG0840
POEJPPFL_00546,537603,538817,COG1171
POEJPPFL_00547,539090,540367,COG0402
POEJPPFL_00548,540384,541574,COG0624
POEJPPFL_00550,543240,543812,COG2068
POEJPPFL_00551,544154,545437,COG0044
POEJPPFL_00552,545434,546726,COG0402
POEJPPFL_00553,546730,547815,COG0167
POEJPPFL_00554,547847,549955,COG1529
POEJPPFL_00558,552454,554019,COG1129
POEJPPFL_00565,561576,562613,COG0709
POEJPPFL_00566,562845,563996,COG1775
POEJPPFL_00567,564026,564790,COG1924
POEJPPFL_00571,567693,568169,COG0315
POEJPPFL_00574,570019,570399,COG0251
POEJPPFL_00582,577979,578875,COG0803
POEJPPFL_00587,583554,584204,COG1842
POEJPPFL_00589,585271,586425,COG0539
POEJPPFL_00591,588080,589537,COG2195
POEJPPFL_00594,591808,592374,COG0424
POEJPPFL_00596,593136,594152,COG1077
POEJPPFL_00597,594155,595003,COG1792
POEJPPFL_00600,598556,599236,COG1489
POEJPPFL_00601,599436,600095,COG0850
POEJPPFL_00602,600116,600916,COG2894
POEJPPFL_00604,601470,602600,COG0772
POEJPPFL_00612,615005,616453,COG1530
POEJPPFL_00613,616629,616940,COG0261
POEJPPFL_00615,617339,617638,COG0211
POEJPPFL_00616,617940,619232,COG0536
POEJPPFL_00617,619380,619682,COG1534
POEJPPFL_00618,619845,620459,COG1057
POEJPPFL_00621,622718,623617,COG0564
POEJPPFL_00622,623692,624588,COG0583
POEJPPFL_00623,624710,625795,COG0136
POEJPPFL_00628,629446,630801,COG2265
POEJPPFL_00631,632960,634339,COG0534
POEJPPFL_00632,635066,635431,COG0784
POEJPPFL_00636,639992,640438,COG1762
POEJPPFL_00638,640831,642249,COG3775
POEJPPFL_00639,642644,643702,COG1063
POEJPPFL_00640,643716,644534,COG3959
POEJPPFL_00641,644534,645451,COG3958
POEJPPFL_00642,645467,646126,COG0036
POEJPPFL_00643,646158,646601,COG0698
POEJPPFL_00644,646628,647317,COG0235
POEJPPFL_00645,647451,648986,COG1109
POEJPPFL_00646,649054,649710,COG0036
POEJPPFL_00647,650103,650936,COG0648
POEJPPFL_00649,651890,653686,COG1966
POEJPPFL_00651,655126,655884,COG3279
POEJPPFL_00652,656110,656478,COG0789
POEJPPFL_00655,659587,660396,COG1606
POEJPPFL_00656,660481,661227,COG1691
POEJPPFL_00657,661344,662384,COG1902
POEJPPFL_00664,668539,669081,COG1592
POEJPPFL_00673,677976,678566,COG1045
POEJPPFL_00676,680600,681505,COG1181
POEJPPFL_00677,681673,682086,COG0735
POEJPPFL_00679,682884,684101,COG0205
POEJPPFL_00680,684266,685570,COG0520
POEJPPFL_00683,687200,689119,COG0488
POEJPPFL_00684,689464,690171,COG0745
POEJPPFL_00688,694647,695108,COG0219
POEJPPFL_00690,696209,697600,COG1508
POEJPPFL_00691,697983,699032,COG2390
POEJPPFL_00692,699104,700105,COG0057
POEJPPFL_00693,700246,701421,COG0126
POEJPPFL_00695,702933,704471,COG0696
POEJPPFL_00697,705843,707135,COG0148
POEJPPFL_00701,710269,711090,COG1116
POEJPPFL_00702,711110,713425,COG2217
POEJPPFL_00704,714839,716128,COG2873
POEJPPFL_00705,716344,717213,COG0715
POEJPPFL_00708,720232,721599,COG2710
POEJPPFL_00709,721648,722421,COG0600
POEJPPFL_00710,722450,723235,COG0600
POEJPPFL_00713,725343,726116,COG0600
POEJPPFL_00717,730597,731895,COG2873
POEJPPFL_00719,732948,733727,COG1135
POEJPPFL_00720,733724,734392,COG2011
POEJPPFL_00721,734409,735254,COG1464
POEJPPFL_00722,735268,735615,COG0535
POEJPPFL_00723,735753,736625,COG0535
POEJPPFL_00725,738026,738940,COG0031
POEJPPFL_00727,740706,742064,COG2710
POEJPPFL_00728,742499,744706,COG0557
POEJPPFL_00729,744852,745325,COG0691
POEJPPFL_00730,745544,748801,COG0737
POEJPPFL_00731,749488,750453,COG1135
POEJPPFL_00732,750453,751091,COG2011
POEJPPFL_00733,751103,751933,COG1464
POEJPPFL_00740,758313,760904,COG0542
POEJPPFL_00741,761174,761770,COG4684
POEJPPFL_00743,763205,763867,COG0352
POEJPPFL_00744,764039,764905,COG0037
POEJPPFL_00749,768171,768887,COG0726
POEJPPFL_00757,779260,780150,COG0543
POEJPPFL_00758,780150,781544,COG0493
POEJPPFL_00763,788065,790065,COG0840
POEJPPFL_00771,802760,803578,COG0789
POEJPPFL_00773,805970,806812,COG3711
POEJPPFL_00774,806888,808795,COG1263
POEJPPFL_00775,808960,810420,COG2723
POEJPPFL_00780,814983,815267,COG2732
POEJPPFL_00782,816411,817838,COG1263
POEJPPFL_00783,817831,819255,COG2723
POEJPPFL_00784,819480,820382,COG1180
POEJPPFL_00785,820706,821458,COG1349
POEJPPFL_00786,821748,824150,COG1882
POEJPPFL_00793,832688,833494,COG3715
POEJPPFL_00794,833514,834425,COG3716
POEJPPFL_00803,842737,843609,COG0583
POEJPPFL_00809,850893,851918,COG1609
POEJPPFL_00810,852295,853545,COG1653
POEJPPFL_00811,853719,854582,COG1175
POEJPPFL_00812,854579,855403,COG0395
POEJPPFL_00813,855457,857097,COG0366
POEJPPFL_00825,872970,873854,COG1737
POEJPPFL_00826,874042,874506,COG0782
POEJPPFL_00827,874812,876950,COG1263
POEJPPFL_00828,876976,877812,COG3711
POEJPPFL_00831,880919,881818,COG0784
POEJPPFL_00835,886203,887348,COG0075
POEJPPFL_00836,887378,887911,COG4720
POEJPPFL_00837,888098,888778,COG0120
POEJPPFL_00838,888826,889794,COG0673
POEJPPFL_00839,889849,890700,COG1737
POEJPPFL_00840,890786,891706,COG4989
POEJPPFL_00850,906256,906723,COG1225
POEJPPFL_00851,907270,908559,COG2873
POEJPPFL_00852,908768,909538,COG4753
POEJPPFL_00854,911564,912892,COG1653
POEJPPFL_00855,912959,913837,COG1175
POEJPPFL_00856,913837,914664,COG0395
POEJPPFL_00857,914794,917151,COG1501
POEJPPFL_00861,921100,921408,COG0526
POEJPPFL_00863,922147,923013,COG0492
POEJPPFL_00866,924510,925202,COG0664
POEJPPFL_00867,925283,926050,COG2116
POEJPPFL_00868,926063,927073,COG1145
POEJPPFL_00869,927066,927860,COG0543
POEJPPFL_00870,927873,928838,COG2221
POEJPPFL_00871,929330,930967,COG1151
POEJPPFL_00872,931265,933103,COG0531
POEJPPFL_00873,933244,934668,COG0833
POEJPPFL_00875,936048,936827,COG1131
POEJPPFL_00877,937413,938342,COG0379
POEJPPFL_00878,938350,939657,COG0029
POEJPPFL_00879,939632,940477,COG0157
POEJPPFL_00883,942633,943652,COG0180
POEJPPFL_00895,961115,961615,COG3476
POEJPPFL_00897,964641,964976,COG1366
POEJPPFL_00899,965433,966188,COG1191
POEJPPFL_00905,972920,973954,COG1466
POEJPPFL_00906,974007,974270,COG0268
POEJPPFL_00912,980191,981318,COG0635
POEJPPFL_00913,981533,982585,COG1420
POEJPPFL_00914,982623,983246,COG0576
POEJPPFL_00915,983352,985196,COG0443
POEJPPFL_00916,985510,986643,COG0484
POEJPPFL_00918,988775,989434,COG0220
POEJPPFL_00919,990076,991020,COG2264
POEJPPFL_00920,991227,991994,COG1385
POEJPPFL_00921,991994,993397,COG0621
POEJPPFL_00922,993547,993891,COG0537
POEJPPFL_00924,994241,994693,COG1610
POEJPPFL_00931,1001006,1001755,COG1381
POEJPPFL_00933,1002591,1003229,COG0517
POEJPPFL_00934,1003472,1006099,COG0574
POEJPPFL_00938,1010880,1012010,COG0568
POEJPPFL_00939,1012315,1013007,COG2384
POEJPPFL_00940,1013019,1013810,COG0327
POEJPPFL_00944,1018754,1019506,COG2071
POEJPPFL_00946,1020984,1022093,COG3839
POEJPPFL_00948,1023479,1024495,COG1609
POEJPPFL_00949,1024588,1026075,COG1640
POEJPPFL_00950,1026078,1028438,COG0058
POEJPPFL_00951,1028756,1029715,COG1052
POEJPPFL_00953,1030977,1033145,COG0550
POEJPPFL_00957,1037550,1039550,COG0840
POEJPPFL_00960,1042200,1044308,COG0840
POEJPPFL_00961,1044416,1045891,COG0591
POEJPPFL_00986,1063840,1064190,COG2801
POEJPPFL_00994,1069449,1070234,COG3409
POEJPPFL_00997,1071659,1072426,COG1116
POEJPPFL_00999,1073553,1073909,COG1380
POEJPPFL_01000,1073949,1074662,COG1346
POEJPPFL_01002,1076312,1077361,COG1879
POEJPPFL_01005,1079800,1080522,COG3442
POEJPPFL_01006,1080541,1081899,COG0769
POEJPPFL_01013,1093204,1094460,COG1455
POEJPPFL_01014,1094511,1094819,COG1440
POEJPPFL_01015,1094833,1095171,COG1447
POEJPPFL_01020,1102044,1102808,COG3715
POEJPPFL_01021,1102795,1103634,COG3716
POEJPPFL_01022,1103702,1104700,COG2222
POEJPPFL_01023,1104771,1105634,COG0524
POEJPPFL_01026,1110144,1110584,COG2893
POEJPPFL_01027,1110562,1111041,COG2893
POEJPPFL_01028,1111060,1111851,COG3715
POEJPPFL_01029,1111844,1112644,COG3716
POEJPPFL_01034,1120003,1120869,COG1737
POEJPPFL_01035,1121444,1122271,COG0561
POEJPPFL_01036,1122312,1123097,COG1387
POEJPPFL_01040,1127150,1127698,COG4720
POEJPPFL_01041,1127980,1129209,COG0420
POEJPPFL_01043,1133002,1133571,COG1825
POEJPPFL_01046,1137582,1138307,COG1922
POEJPPFL_01047,1138352,1139878,COG0728
POEJPPFL_01051,1143607,1144257,COG3404
POEJPPFL_01055,1147145,1148242,COG0012
POEJPPFL_01057,1150585,1151562,COG1482
POEJPPFL_01058,1151893,1152753,COG1968
POEJPPFL_01059,1153356,1154453,COG0205
POEJPPFL_01061,1155634,1156560,COG0540
POEJPPFL_01062,1156562,1156993,COG1781
POEJPPFL_01063,1157013,1158209,COG0044
POEJPPFL_01064,1158607,1159479,COG0284
POEJPPFL_01065,1159515,1160258,COG0543
POEJPPFL_01066,1160280,1161176,COG0167
POEJPPFL_01067,1161268,1161942,COG0461
POEJPPFL_01068,1162638,1163399,COG0496
POEJPPFL_01071,1168034,1168759,COG1180
POEJPPFL_01075,1172699,1173649,COG0039
POEJPPFL_01080,1179420,1181111,COG0018
POEJPPFL_01081,1181263,1182396,COG0628
POEJPPFL_01082,1182426,1182962,COG0778
POEJPPFL_01085,1184888,1185769,COG0658
