id,start,end,OG
GNDNOPCI_00001,501,1862,COG0593
GNDNOPCI_00002,2069,3211,COG0592
GNDNOPCI_00003,3229,3459,COG2501
GNDNOPCI_00004,3513,4625,COG1195
GNDNOPCI_00005,4641,4889,ROG0244
GNDNOPCI_00006,4897,6810,COG0187
GNDNOPCI_00007,6954,9464,COG0188
GNDNOPCI_00011,14955,16013,ROG3267
GNDNOPCI_00012,16207,17670,COG0516
GNDNOPCI_00013,17779,19104,COG1686
GNDNOPCI_00014,19475,20761,COG0172
GNDNOPCI_00015,20939,21736,COG1028
GNDNOPCI_00017,23323,24828,COG0579
GNDNOPCI_00018,26469,26756,ROG8370
GNDNOPCI_00019,26753,26962,COG1476
GNDNOPCI_00020,27351,27731,ROG6816
GNDNOPCI_00021,27739,28107,COG2315
GNDNOPCI_00022,28561,29370,ROG3709
GNDNOPCI_00023,29530,29664,ROG3061
GNDNOPCI_00024,29911,30642,ROG3179
GNDNOPCI_00027,31758,32042,COG4584
GNDNOPCI_00029,33536,33811,ROG5769
GNDNOPCI_00030,34355,34555,ROG8377
GNDNOPCI_00031,35358,35561,ROG1473
GNDNOPCI_00032,36231,36989,COG0310
GNDNOPCI_00033,36996,37307,COG1930
GNDNOPCI_00034,37291,38082,COG0619
GNDNOPCI_00035,38088,38933,COG1122
GNDNOPCI_00036,38958,40574,COG1010
GNDNOPCI_00037,40595,41515,COG2138
GNDNOPCI_00038,41517,42317,COG2099
GNDNOPCI_00039,42295,42945,COG2082
GNDNOPCI_00040,42948,44054,COG1903
GNDNOPCI_00041,44033,45241,COG2242
GNDNOPCI_00042,45241,45948,COG2243
GNDNOPCI_00043,45945,46721,COG2875
GNDNOPCI_00044,46718,47863,COG2073
GNDNOPCI_00045,47881,49293,COG1797
GNDNOPCI_00046,49290,50765,COG0007
GNDNOPCI_00048,51371,51649,COG0776
GNDNOPCI_00049,51724,52386,COG1842
GNDNOPCI_00050,52383,52664,COG1298
GNDNOPCI_00051,53144,53857,ROG1388
GNDNOPCI_00052,54264,55631,COG3829
GNDNOPCI_00053,55840,56601,COG1024
GNDNOPCI_00054,56624,57484,COG1250
GNDNOPCI_00055,57486,58625,COG1960
GNDNOPCI_00056,58635,59342,COG0596
GNDNOPCI_00057,59608,61161,COG0364
GNDNOPCI_00058,61167,61805,COG1878
GNDNOPCI_00059,61969,62439,COG0590
GNDNOPCI_00060,62515,63720,COG0842
