MJJCLBGC_00001	COG0527	[E] Aspartokinases     
MJJCLBGC_00002	COG0083	[E] Homoserine kinase    
MJJCLBGC_00003	COG0498	[E] Threonine synthase    
MJJCLBGC_00004	ROG2395	
MJJCLBGC_00005	COG3022	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_00006	COG1115	[E] Na+/alanine symporter    
MJJCLBGC_00007	COG0176	[G] Transaldolase     
MJJCLBGC_00008	COG0521	[H] Molybdopterin biosynthesis enzymes   
MJJCLBGC_00009	COG1584	[S] Predicted membrane protein   
MJJCLBGC_00010	COG4735	[S] Uncharacterized protein conserved in bacteria 
MJJCLBGC_00012	COG0443	[O] Molecular chaperone    
MJJCLBGC_00013	COG0484	[O] DnaJ-class molecular chaperone with C-terminal Zn
MJJCLBGC_00014	COG3385	[L] FOG: Transposase and inactivated derivatives 
MJJCLBGC_00017	COG3004	[P] Na+/H+ antiporter    
MJJCLBGC_00018	COG0583	[K] Transcriptional regulator    
MJJCLBGC_00019	COG1662	[L] Transposase and inactivated derivatives, IS1 family
MJJCLBGC_00020	COG3677	[L] Transposase and inactivated derivatives  
MJJCLBGC_00021	COG0268	[J] Ribosomal protein S20   
MJJCLBGC_00022	COG0196	[H] FAD synthase    
MJJCLBGC_00023	COG0060	[J] Isoleucyl-tRNA synthetase    
MJJCLBGC_00024	COG0597	[MU] Lipoprotein signal peptidase   
MJJCLBGC_00025	COG1047	[O] FKBP-type peptidyl-prolyl cis-trans isomerases 2 
MJJCLBGC_00026	COG0761	[IM] Penicillin tolerance protein   
MJJCLBGC_00027	COG1957	[F] Inosine-uridine nucleoside N-ribohydrolase   
MJJCLBGC_00028	COG0289	[E] Dihydrodipicolinate reductase    
MJJCLBGC_00029	COG0505	[EF] Carbamoylphosphate synthase small subunit  
MJJCLBGC_00030	COG0458	[EF] Carbamoylphosphate synthase large subunit (split gene
MJJCLBGC_00032	COG0663	[R] Carbonic anhydrases/acetyltransferases, isoleucine patch superfamily 
MJJCLBGC_00033	COG1024	[I] Enoyl-CoA hydratase/carnithine racemase   
MJJCLBGC_00034	COG0318	[IQ] Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II 
MJJCLBGC_00035	COG1804	[C] Predicted acyl-CoA transferases/carnitine dehydratase  
MJJCLBGC_00036	COG1960	[I] Acyl-CoA dehydrogenases    
MJJCLBGC_00037	COG1292	[M] Choline-glycine betaine transporter   
