id,start,end,OG
NC_000913.3_2,337,2799,COG0460
NC_000913.3_3,2801,3733,COG0083
NC_000913.3_4,3734,5020,COG0498
NC_000913.3_5,5234,5530,2B58A
NC_000913.3_6,5683,6459,COG3022
NC_000913.3_7,6529,7959,COG1115
NC_000913.3_8,8238,9191,COG0176
NC_000913.3_9,9306,9893,COG0521
NC_000913.3_10,9928,10494,COG1584
NC_000913.3_11,10643,11356,COG4735
NC_000913.3_12,11382,11786,29AC0
NC_000913.3_13,12163,14079,COG0443
NC_000913.3_14,14168,15298,COG0484
NC_000913.3_15,15445,16557,COG3385
NC_000913.3_17,16751,16903,2EFY7
NC_000913.3_18,17489,18655,COG3004
NC_000913.3_19,18721,19620,COG0583
NC_000913.3_20,19811,20188,COG1662
NC_000913.3_21,20233,20508,COG3677
NC_000913.3_22,20815,21078,COG0268
NC_000913.3_23,21407,22348,COG0196
NC_000913.3_24,22391,25207,COG0060
NC_000913.3_25,25207,25701,COG0597
NC_000913.3_26,25826,26275,COG1047
NC_000913.3_27,26277,27227,COG0761
NC_000913.3_28,27293,28207,COG1957
NC_000913.3_29,28374,29195,COG0289
NC_000913.3_30,29651,30799,COG0505
NC_000913.3_31,30817,34038,COG0458
NC_000913.3_32,34300,34695,2BXKV
NC_000913.3_33,34781,35371,COG0663
NC_000913.3_34,35377,36162,COG1024
NC_000913.3_35,36271,37824,COG0318
NC_000913.3_36,37898,39115,COG1804
NC_000913.3_37,39244,40386,COG1960
NC_000913.3_38,40417,41931,COG1292
NC_000913.3_39,42403,43173,COG2086
NC_000913.3_40,43188,44129,COG2025
NC_000913.3_41,44180,45466,COG0644
NC_000913.3_42,45463,45750,COG2440
NC_000913.3_43,45807,47138,COG2271
NC_000913.3_44,47246,47776,COG2249
NC_000913.3_45,47769,49631,COG0475
NC_000913.3_46,49712,50302,COG0262
NC_000913.3_47,50380,51222,COG0639
NC_000913.3_48,51229,51606,COG2967
NC_000913.3_49,51609,52430,COG0030
NC_000913.3_50,52427,53416,COG1995
NC_000913.3_51,53416,54702,COG0760
NC_000913.3_52,54755,57109,COG1452
NC_000913.3_53,57364,58179,COG1076
NC_000913.3_54,58474,59124,COG1357
NC_000913.3_56,59687,60346,COG0564
NC_000913.3_57,60358,63264,COG0553
NC_000913.3_58,63429,65780,COG0417
NC_000913.3_59,65855,66550,COG0235
NC_000913.3_60,66835,68337,COG2160
NC_000913.3_61,68348,70048,COG1069
NC_000913.3_62,70387,71265,COG4977
NC_000913.3_63,71351,72115,COG0586
NC_000913.3_64,72229,72927,COG3840
NC_000913.3_65,72911,74521,COG1178
NC_000913.3_66,74497,75480,COG4143
NC_000913.3_67,75644,77299,COG4533
NC_000913.3_68,77388,77519,2AV6G
NC_000913.3_69,77621,78799,COG0477
NC_000913.3_70,78848,79453,COG0066
NC_000913.3_71,79464,80864,COG0065
NC_000913.3_72,80867,81958,COG0473
NC_000913.3_73,81958,83529,COG0119
NC_000913.3_74,84368,85312,COG0583
NC_000913.3_75,85630,87354,COG0028
NC_000913.3_76,87357,87848,COG0440
NC_000913.3_77,88028,89032,COG1609
NC_000913.3_78,89634,90092,COG2001
NC_000913.3_79,90094,91035,COG0275
NC_000913.3_80,91032,91397,COG3116
NC_000913.3_81,91413,93179,COG0768
NC_000913.3_82,93166,94653,COG0769
NC_000913.3_83,94650,96008,COG0770
NC_000913.3_84,96002,97084,COG0472
NC_000913.3_85,97087,98403,COG0771
NC_000913.3_86,98403,99647,COG0772
NC_000913.3_87,99644,100711,COG0707
NC_000913.3_88,100765,102240,COG0773
NC_000913.3_89,102233,103153,COG1181
NC_000913.3_90,103155,103985,COG1589
NC_000913.3_91,103982,105244,COG0849
NC_000913.3_92,105305,106456,COG0206
NC_000913.3_93,106557,107474,COG0774
NC_000913.3_94,107630,108217,2ATX7
NC_000913.3_95,108279,110984,COG0653
NC_000913.3_96,111044,111433,COG0494
NC_000913.3_97,111649,111846,COG3024
NC_000913.3_98,111856,112599,COG4582
NC_000913.3_99,112599,113219,COG0237
NC_000913.3_100,113444,114487,COG0516
NC_000913.3_101,114522,115724,COG1459
NC_000913.3_102,115714,117099,COG2804
NC_000913.3_103,117109,117549,COG4969
NC_000913.3_104,117752,118645,COG0157
NC_000913.3_105,118733,119284,COG3023
NC_000913.3_106,119281,120135,COG3725
NC_000913.3_107,120178,121548,COG1113
NC_000913.3_108,122092,122856,COG2186
NC_000913.3_109,123017,125680,COG2609
NC_000913.3_110,125695,127587,COG0508
NC_000913.3_111,127912,129336,COG1249
NC_000913.3_112,129407,131260,COG3064
NC_000913.3_113,131615,134212,COG1049
NC_000913.3_114,134388,134750,COG3112
NC_000913.3_115,134788,135582,COG1586
NC_000913.3_116,135598,136464,COG0421
NC_000913.3_117,136570,136878,2B1X9
NC_000913.3_118,137083,138633,COG2132
NC_000913.3_119,138835,141225,COG4993
NC_000913.3_120,141431,141967,COG0634
NC_000913.3_121,142008,142670,COG0288
NC_000913.3_122,142779,143705,COG1131
NC_000913.3_123,143702,144472,COG0842
NC_000913.3_124,144577,145017,COG2893
NC_000913.3_125,145081,146310,COG0726
NC_000913.3_126,146314,146694,COG0853
NC_000913.3_127,146968,147870,COG5464
NC_000913.3_128,147944,148795,COG0414
NC_000913.3_129,148807,149601,COG0413
NC_000913.3_130,149715,150953,COG3539
NC_000913.3_131,151003,151599,COG3539
NC_000913.3_132,151626,152231,COG3539
NC_000913.3_133,152243,152812,COG3539
NC_000913.3_134,152829,155426,COG3188
NC_000913.3_135,155461,156201,COG3121
NC_000913.3_136,156299,156883,COG3539
NC_000913.3_137,157253,157732,COG0801
NC_000913.3_138,157729,159093,COG0617
NC_000913.3_139,159186,160112,COG0008
NC_000913.3_140,160149,160604,COG1734
NC_000913.3_141,160782,161486,COG1489
NC_000913.3_142,161501,162031,COG1514
NC_000913.3_143,162105,164534,COG1643
NC_000913.3_144,164730,167264,COG0744
NC_000913.3_145,167484,169727,COG4774
NC_000913.3_146,169778,170575,COG1120
NC_000913.3_147,170575,171465,COG0614
NC_000913.3_148,171462,173444,COG0609
NC_000913.3_149,173602,174882,COG0001
NC_000913.3_150,175107,176528,COG0038
NC_000913.3_151,176610,176954,COG0316
NC_000913.3_152,177001,177624,COG2860
NC_000913.3_153,177662,178462,COG0614
NC_000913.3_154,178455,179153,COG0775
NC_000913.3_155,179237,180754,COG0232
NC_000913.3_156,180884,182308,COG0265
NC_000913.3_157,182463,183620,COG3835
NC_000913.3_158,183709,184095,28NXJ
