id,start,end,OG
PCBHHBLN_00001,501,2030,COG0593
PCBHHBLN_00003,3443,4570,COG1195
PCBHHBLN_00009,9946,10410,COG1762
PCBHHBLN_00010,10800,12302,COG1508
PCBHHBLN_00011,12320,13186,COG1137
PCBHHBLN_00014,14972,16072,COG0517
PCBHHBLN_00018,18766,19614,COG1968
PCBHHBLN_00025,28727,29872,COG0265
PCBHHBLN_00028,31899,32606,COG0744
PCBHHBLN_00034,37541,38053,COG3088
PCBHHBLN_00035,38050,38637,COG0526
PCBHHBLN_00036,38663,40678,COG1138
PCBHHBLN_00037,40764,41225,COG2332
PCBHHBLN_00039,41530,42249,COG0755
PCBHHBLN_00040,42415,43083,COG2386
PCBHHBLN_00041,43080,43781,COG4133
PCBHHBLN_00044,45615,46784,COG1044
PCBHHBLN_00048,49043,50650,COG0488
PCBHHBLN_00049,50793,51419,COG1280
PCBHHBLN_00052,52319,53872,COG4799
PCBHHBLN_00053,54178,56166,COG4770
PCBHHBLN_00054,56220,57752,COG4799
PCBHHBLN_00055,58390,60327,COG1154
PCBHHBLN_00060,66671,67645,COG0761
PCBHHBLN_00063,69833,71803,COG1657
PCBHHBLN_00064,71906,73204,COG2907
PCBHHBLN_00066,75273,76166,COG1562
PCBHHBLN_00070,80215,81225,COG1131
PCBHHBLN_00074,83277,85157,COG0326
PCBHHBLN_00078,89264,89698,COG1188
PCBHHBLN_00081,91483,91980,COG1329
PCBHHBLN_00089,100362,101603,COG2081
PCBHHBLN_00091,102925,104814,COG0514
PCBHHBLN_00095,107469,108338,COG1175
PCBHHBLN_00097,109280,110398,COG3839
PCBHHBLN_00099,111531,111953,COG1186
PCBHHBLN_00100,112010,113221,COG0626
PCBHHBLN_00105,117345,117560,COG2900
PCBHHBLN_00107,117974,123295,COG2373
PCBHHBLN_00108,123304,125424,COG4953
PCBHHBLN_00118,133845,135080,COG1459
PCBHHBLN_00121,137599,138336,COG1131
PCBHHBLN_00122,138327,139373,COG2805
PCBHHBLN_00127,142744,144234,COG2870
PCBHHBLN_00130,147223,148038,COG4555
PCBHHBLN_00132,148893,150092,COG3004
PCBHHBLN_00135,153448,154461,COG3437
PCBHHBLN_00137,156299,157333,COG0438
PCBHHBLN_00138,157451,158938,COG1012
PCBHHBLN_00145,164784,165767,COG0113
PCBHHBLN_00148,167784,168887,COG1902
PCBHHBLN_00150,169762,170301,COG0221
PCBHHBLN_00152,172111,173952,COG1217
PCBHHBLN_00153,173965,174960,COG0524
PCBHHBLN_00158,178141,178779,COG0177
PCBHHBLN_00163,183583,185268,COG0840
PCBHHBLN_00164,185407,187020,COG1570
PCBHHBLN_00169,190213,191940,COG0659
PCBHHBLN_00179,200558,201499,COG1518
PCBHHBLN_00185,206591,209272,COG1203
PCBHHBLN_00186,209433,210470,COG4992
PCBHHBLN_00189,211865,213607,COG1518
PCBHHBLN_00198,227357,229087,COG1132
PCBHHBLN_00199,229084,230865,COG1132
PCBHHBLN_00200,231093,233225,COG1629
PCBHHBLN_00201,234098,235525,COG0534
PCBHHBLN_00213,254129,254473,COG0271
PCBHHBLN_00218,261918,262757,COG3384
PCBHHBLN_00219,262975,263274,COG0227
PCBHHBLN_00225,268460,268954,COG1522
PCBHHBLN_00226,269144,270121,COG2301
PCBHHBLN_00227,270352,271305,COG0825
PCBHHBLN_00230,272528,273721,COG0126
PCBHHBLN_00231,273816,274823,COG0057
PCBHHBLN_00232,275270,276874,COG2326
PCBHHBLN_00239,282848,284824,COG0367
PCBHHBLN_00244,290529,293219,COG0653
PCBHHBLN_00252,301743,303107,COG0144
PCBHHBLN_00253,303299,304762,COG0516
PCBHHBLN_00257,307567,308571,COG1879
PCBHHBLN_00258,308628,309644,COG1172
PCBHHBLN_00259,309719,311200,COG1129
PCBHHBLN_00260,311213,312709,COG1070
PCBHHBLN_00263,315148,316218,COG1089
PCBHHBLN_00264,316211,317200,COG0451
PCBHHBLN_00269,320807,322870,COG1966
PCBHHBLN_00274,326494,327408,COG1947
PCBHHBLN_00276,329413,331050,COG0644
PCBHHBLN_00279,334002,334550,COG0521
PCBHHBLN_00281,335901,336308,COG2967
PCBHHBLN_00283,337278,337589,COG2076
PCBHHBLN_00290,343626,344753,COG1600
PCBHHBLN_00292,345988,347025,COG0809
PCBHHBLN_00293,347198,347779,COG1971
PCBHHBLN_00296,350404,351924,COG1012
